"","Flow_from_user","Flow_to_user","flow"
"hashtagfarziwal","rssurjewala","hashtagfarziwal",-4.93806460126142
"rssurjewala","hashtagfarziwal","rssurjewala",4.93806460126142
"rssurjewala1","rahulja13034944","rssurjewala",4.53259949315326
"rssurjewala2","aazaadparinda","rssurjewala",4.24491742070147
"rssurjewala3","sventure007","rssurjewala",4.93806460126142
"rssurjewala4","tussarjitu","rssurjewala",4.93806460126142
"rssurjewala5","chandoksumeet","rssurjewala",4.02177386938726
"rssurjewala6","tinni_aphrodite","rssurjewala",4.24491742070147
"rssurjewala7","admathura","rssurjewala",4.93806460126142
"rssurjewala8","maninde42125473","rssurjewala",4.93806460126142
"rssurjewala9","ketan99222","rssurjewala",4.93806460126142
"rssurjewala10","priyabratat","rssurjewala",4.24491742070147
"rssurjewala11","zedlens","rssurjewala",4.53259949315326
"rssurjewala12","romandsouza","rssurjewala",4.24491742070147
"rssurjewala13","rajnikanttiwa10","rssurjewala",4.93806460126142
"rssurjewala14","puriyash41","rssurjewala",4.53259949315326
"rssurjewala15","gopalsachdeva1","rssurjewala",4.93806460126142
"rssurjewala16","iamsmithaa","rssurjewala",3.83945231259331
"rssurjewala17","pdrsudhakar","rssurjewala",3.83945231259331
"rssurjewala18","natasha_2o1o","rssurjewala",4.53259949315326
"rssurjewala19","drmalikkalam","rssurjewala",3.83945231259331
"rssurjewala20","jaijaicongress","rssurjewala",4.93806460126142
"rssurjewala21","dewasisatpal","rssurjewala",4.53259949315326
"rssurjewala22","sha_vajid","rssurjewala",4.93806460126142
"rssurjewala23","kunalchoudhary_","rssurjewala",4.53259949315326
"rssurjewala24","rajeshkocharek2","rssurjewala",4.93806460126142
"rssurjewala25","abeerchawake","rssurjewala",4.53259949315326
"rssurjewala26","meenuji2","rssurjewala",4.93806460126142
"rssurjewala27","dilawarit","rssurjewala",4.93806460126142
"rssurjewala28","virk_prabjot","rssurjewala",4.93806460126142
"rssurjewala29","amar129438","rssurjewala",4.53259949315326
"rssurjewala30","drjadav","rssurjewala",4.93806460126142
"rssurjewala31","b_richardn","rssurjewala",4.53259949315326
"rssurjewala32","sukhiim","rssurjewala",4.53259949315326
"rssurjewala33","adilalam45u","rssurjewala",4.93806460126142
"rssurjewala34","jatyanvijay","rssurjewala",4.93806460126142
"rssurjewala35","kochar4himanshu","rssurjewala",4.93806460126142
"rssurjewala36","rkyadav666","rssurjewala",4.93806460126142
"rssurjewala37","liyakat9910","rssurjewala",4.93806460126142
"rssurjewala38","manish_manisja","rssurjewala",4.24491742070147
"rssurjewala39","sameer470","rssurjewala",4.24491742070147
"rssurjewala40","asmon_fredrick","rssurjewala",4.93806460126142
"rssurjewala41","mahesharma39","rssurjewala",4.53259949315326
"rssurjewala42","manasmallik2025","rssurjewala",4.93806460126142
"rssurjewala43","furkansayed1","rssurjewala",4.02177386938726
"rssurjewala44","sujitkumar5555","rssurjewala",4.24491742070147
"rssurjewala45","vijay_hitaishi","rssurjewala",4.53259949315326
"rssurjewala46","abkadir01","rssurjewala",4.93806460126142
"rssurjewala47","srikanthrajeev","rssurjewala",4.93806460126142
"rssurjewala48","mikedesai","rssurjewala",3.83945231259331
"rssurjewala49","hardevs97977417","rssurjewala",4.93806460126142
"rssurjewala50","sonubha24368306","rssurjewala",4.93806460126142
"rssurjewala51","tanveer1729","rssurjewala",4.02177386938726
"rssurjewala52","shyamlalaggarw1","rssurjewala",4.24491742070147
"rssurjewala53","jab9777","rssurjewala",4.02177386938726
"rssurjewala54","fairviewpoint1","rssurjewala",4.93806460126142
"rssurjewala55","lenahaitole","rssurjewala",4.53259949315326
"rssurjewala56","azazshaikhiyc","rssurjewala",4.53259949315326
"rssurjewala57","annu_philip","rssurjewala",4.53259949315326
"rssurjewala58","more18anna","rssurjewala",4.93806460126142
"rssurjewala59","satish_patidar_","rssurjewala",4.24491742070147
"rssurjewala60","ejazr","rssurjewala",4.53259949315326
"rssurjewala61","satishsheoran16","rssurjewala",4.93806460126142
"rssurjewala62","mrinendrasingh","rssurjewala",4.93806460126142
"rssurjewala63","zakirhu51007984","rssurjewala",4.93806460126142
"rssurjewala64","emanmann2","rssurjewala",3.83945231259331
"rssurjewala65","harmony1960","rssurjewala",4.24491742070147
"rssurjewala66","sumamaiyc","rssurjewala",4.93806460126142
"rssurjewala67","erramaninc","rssurjewala",4.93806460126142
"rssurjewala68","syedmohdyasir3","rssurjewala",4.24491742070147
"rssurjewala69","clefer10","rssurjewala",4.93806460126142
"rssurjewala70","anjum_parwaz","rssurjewala",4.93806460126142
"rssurjewala71","retheeshraj10","rssurjewala",4.02177386938726
"rssurjewala72","kunwarnagendra","rssurjewala",4.93806460126142
"rssurjewala73","varunchaubey11","rssurjewala",4.93806460126142
"rssurjewala74","rzk_ali","rssurjewala",4.53259949315326
"rssurjewala75","konarkdixitkd","rssurjewala",4.93806460126142
"rssurjewala76","ajaykusahu","rssurjewala",4.93806460126142
"rssurjewala77","balaindrajith","rssurjewala",4.02177386938726
"rssurjewala78","abhinavmaddy","rssurjewala",4.93806460126142
"rssurjewala79","annavetticad","rssurjewala",4.53259949315326
"rssurjewala80","jitendransui","rssurjewala",4.93806460126142
"rssurjewala81","yogesverma85gma","rssurjewala",4.93806460126142
"rssurjewala82","sushilkaushik03","rssurjewala",4.93806460126142
"rssurjewala83","uttrakhand_pyc","rssurjewala",4.93806460126142
"rssurjewala84","tshamsi88","rssurjewala",4.93806460126142
"rssurjewala85","rkarnan","rssurjewala",4.93806460126142
"rssurjewala86","kuldeepdwived19","rssurjewala",4.93806460126142
"rssurjewala87","andrewf30898751","rssurjewala",4.93806460126142
"rssurjewala88","bhimajiyani_mz","rssurjewala",4.93806460126142
"rssurjewala89","naheedmalik24","rssurjewala",4.93806460126142
"rssurjewala90","mahaveernetaji","rssurjewala",4.53259949315326
"rssurjewala91","thecableguy201","rssurjewala",4.53259949315326
"rssurjewala92","c0sm0gyral","rssurjewala",4.24491742070147
"rssurjewala93","amms28","rssurjewala",4.24491742070147
"rssurjewala94","lyckushinagar","rssurjewala",4.93806460126142
"rssurjewala95","girish663","rssurjewala",4.93806460126142
"rssurjewala96","skti1988","rssurjewala",4.93806460126142
"rssurjewala97","mnakthar","rssurjewala",4.02177386938726
"rssurjewala98","jk_coolguy","rssurjewala",4.93806460126142
"rssurjewala99","dixitvinod167","rssurjewala",4.93806460126142
"rssurjewala100","chowdhryguru","rssurjewala",4.93806460126142
"rssurjewala101","msirsiwal","rssurjewala",4.53259949315326
"rssurjewala102","realtruthpak","rssurjewala",4.93806460126142
"rssurjewala103","braveindianmax","rssurjewala",4.02177386938726
"rssurjewala104","farhat_yk","rssurjewala",4.53259949315326
"rssurjewala105","thekanishk","rssurjewala",4.93806460126142
"rssurjewala106","saifi_inam","rssurjewala",4.93806460126142
"rssurjewala107","chintu002","rssurjewala",4.93806460126142
"rssurjewala108","narayanan_p","rssurjewala",4.93806460126142
"rssurjewala109","hero56223621","rssurjewala",4.93806460126142
"rssurjewala110","vineetbakshi4","rssurjewala",4.93806460126142
"rssurjewala111","ajitkumar_kanan","rssurjewala",4.53259949315326
"rssurjewala112","srikantasingh","rssurjewala",4.93806460126142
"rssurjewala113","narala_ratnaker","rssurjewala",4.93806460126142
"rssurjewala114","dhirend16266090","rssurjewala",4.93806460126142
"rssurjewala115","blrvikash","rssurjewala",4.93806460126142
"rssurjewala116","geetv79","rssurjewala",2.19722457733622
"rssurjewala117","ahmed_sf","rssurjewala",4.93806460126142
"rssurjewala118","shreya7376","rssurjewala",4.93806460126142
