"","X","Flow_from_user","Flow_to_user","flow"
"5706","cohelporg2","","cohelporg",1
"11764","rwdrg","","rwdrg",-1
"8420","FrustIndian7","___baddog","FrustIndian",1
"9787","YesIamSaffron9","___jcs","YesIamSaffron",1
"11433","sumongantait","__yamaniyaa","sumongantait",0
"4843","sajid_Yousuf_1","_10compassion","sajid_Yousuf_",1
"13709","URautelaForever875","_ajaytiwari79","URautelaForever",1
"1218","Dipankar_cpiml18","_ajeett","Dipankar_cpiml",1
"16894","mkatju","_ajeett","mkatju",1
"9353","vikrantkumar1","_antithesis_1","vikrantkumar",1
"13724","URautelaForever890","_anubhav_singh_","URautelaForever",1
"16970","Timcast11","_archdornan_","Timcast",1
"14559","5Forty3209","_ashim__","5Forty3",1
"17291","design_track","_asif","design_track",-1
"17283","needa_perween","_asif","needa_perween",-1
"2785","donmufflerman1","_avenu","donmufflerman",-1
"2350","everg3","_avenu","everg3",-1
"2559","fighterpirate7","_avenu","fighterpirate7",-1
"2775","iammlk48","_avenu","iammlk48",-1
"2774","tauhid13","_avenu","tauhid13",-1
"1460","trollabhakt","_avenu","trollabhakt",-1
"6619","IamRitzV5","_baatcutter","IamRitzV",1
"16806","aaanupriyaaa13","_beinggaurav","aaanupriyaaa",1
"16840","aaanupriyaaa47","_bishal20_","aaanupriyaaa",1
"16080","jokinjey1","_cucumber_melon","jokinjey",0
"14614","Memeghnad6","_cucumber_melon","Memeghnad",1
"5646","dna66","_darkhumor","dna",1
"12702","ChilliFL","_desibuzz","ChilliFL",0
"10399","AmarKrishnaJha","_drcool_","AmarKrishnaJha",0
"7594","BSLMF","_drcool_","BSLMF",1
"17035","Timcast76","_drfister","Timcast",1
"17573","AmiteshK0110","_dsrajput","AmiteshK01",1
"14557","5Forty3207","_flamboyant_","5Forty3",1
"8521","pavanaja4","_harishl","pavanaja",1
"12758","saachin204","_HarshilNayak","saachin20",1
"13225","URautelaForever391","_harveersingh","URautelaForever",1
"16768","arunnutan","_HazirJawab","arunnutan",0
"13073","URautelaForever239","_himanshusuman","URautelaForever",1
"2998","_Hinduism_1","_hinduism_","_Hinduism_",1
"3017","_hinduism_","_Hinduism_","_hinduism_",-1
"2995","zasambhu1","_Hinduism_","zasambhu",1
"13598","URautelaForever764","_iamdineshreddy","URautelaForever",1
"609","gauravcsawant306","_iamsanjiv_","gauravcsawant",1
"1730","harshkkapoor25","_its_rahul","harshkkapoor",1
"17361","grossbart","_joshburgess","grossbart",-1
"17404","k4y1s","_joshburgess","k4y1s",-1
"17403","tptee","_joshburgess","tptee",-1
"16225","dkomal_kd","_Kirtibhairav","dkomal_kd",0
"1752","harshkkapoor47","_letkarmadoit4u","harshkkapoor",1
"14085","rahulroushan6","_letkarmadoit4u","rahulroushan",1
"18118","max70391931","_luxsplendor","max70391931",0
"1742","harshkkapoor37","_manish_pal","harshkkapoor",1
"865","Joydeep_91120","_manish_pal","Joydeep_911",1
"11798","NCIndi2","_mataprasad","NCIndi",1
"11008","_mittalshah","_MiteshPatel","_mittalshah",-1
"10983","10_rekha","_MiteshPatel","10_rekha",-1
"10667","11boms","_MiteshPatel","11boms",-1
"10978","18kruti","_MiteshPatel","18kruti",-1
"10824","18vikaram","_MiteshPatel","18vikaram",-1
"10970","19_vikash","_MiteshPatel","19_vikash",-1
"11029","1ojas","_MiteshPatel","1ojas",-1
"11004","38jalpa","_MiteshPatel","38jalpa",-1
"3472","500urvashi3","_MiteshPatel","500urvashi",-1
"11021","81_jignesh","_MiteshPatel","81_jignesh",-1
"10992","87_bansari","_MiteshPatel","87_bansari",-1
"10679","aap_neel","_MiteshPatel","aap_neel",-1
"10429","aap_petlad","_MiteshPatel","aap_petlad",-1
"10904","aapgujvolunteer","_MiteshPatel","aapgujvolunteer",-1
"10694","aapingoa","_MiteshPatel","aapingoa",-1
"11010","aapkipalki","_MiteshPatel","aapkipalki",-1
"3635","aapvind1","_MiteshPatel","aapvind",-1
"11034","ahirchaarvi","_MiteshPatel","ahirchaarvi",-1
"11014","anshaap1","_MiteshPatel","anshaap1",-1
"10977","baavachitra","_MiteshPatel","baavachitra",-1
"10974","bajajhansal","_MiteshPatel","bajajhansal",-1
"10965","bomindus","_MiteshPatel","bomindus",-1
"8965","breakinews1","_MiteshPatel","breakinews",-1
"10985","ca_sahay","_MiteshPatel","ca_sahay",-1
"10664","calvin30125","_MiteshPatel","calvin30125",-1
"10971","chinmay_sav","_MiteshPatel","chinmay_sav",-1
"10923","devenddr42","_MiteshPatel","devenddr42",-1
"10912","eeshachawda","_MiteshPatel","eeshachawda",-1
"10675","gujaratdalit","_MiteshPatel","gujaratdalit",-1
"10909","gujaratkiawaaz","_MiteshPatel","gujaratkiawaaz",-1
"10661","harshilgujarati","_MiteshPatel","harshilgujarati",-1
"11000","i_am_anaskhan","_MiteshPatel","i_am_anaskhan",-1
"5029","indieanarch3","_MiteshPatel","indieanarch",-1
"6826","jvsk32","_MiteshPatel","jvsk3",-1
"10324","kamaaaa64","_MiteshPatel","kamaaaa6",-1
"11007","kantiaap","_MiteshPatel","kantiaap",-1
"10991","labdhibadger","_MiteshPatel","labdhibadger",-1
"10699","lalurohit1","_MiteshPatel","lalurohit1",-1
"11016","modi_krish1","_MiteshPatel","modi_krish1",-1
"10973","modijaisil","_MiteshPatel","modijaisil",-1
"11009","naiksaransh","_MiteshPatel","naiksaransh",-1
"10915","namomad","_MiteshPatel","namomad",-1
"10930","naveenbebra5","_MiteshPatel","naveenbebra",-1
"10964","navikaarao","_MiteshPatel","navikaarao",-1
"10743","nehapunjab","_MiteshPatel","nehapunjab",-1
"11015","nilshah2203","_MiteshPatel","nilshah2203",-1
"11069","officeofarjun","_MiteshPatel","officeofarjun",-1
"10691","patel_rajesh207","_MiteshPatel","patel_rajesh207",-1
"11005","phlli9","_MiteshPatel","phlli9",-1
"10966","prathidey","_MiteshPatel","prathidey",-1
"10888","r_krishnan09","_MiteshPatel","r_krishnan09",-1
"10849","rambabu_14","_MiteshPatel","rambabu_14",-1
"11018","rana_fenny","_MiteshPatel","rana_fenny",-1
"11063","rathodshaiv","_MiteshPatel","rathodshaiv",-1
"10961","rudrchotaliya","_MiteshPatel","rudrchotaliya",-1
"8891","sab_subh_hai","_MiteshPatel","sab_subh_hai",-1
"10972","sanjayvmor","_MiteshPatel","sanjayvmor",-1
"11020","sawanpurohit","_MiteshPatel","sawanpurohit",-1
"10986","sonamishere","_MiteshPatel","sonamishere",-1
"10695","the_sailor_men","_MiteshPatel","the_sailor_men",-1
"11019","tilakshroff","_MiteshPatel","tilakshroff",-1
"11013","umeshaappcmc","_MiteshPatel","umeshaappcmc",-1
"10921","vristib","_MiteshPatel","vristib",-1
"7620","zaalimanna4","_MiteshPatel","zaalimanna",-1
"10380","_MiteshPatel49","_mittalshah","_MiteshPatel",1
"3316","aartic025","_mohdriyaz","aartic02",1
"13973","URautelaForever1139","_myself_kishan_","URautelaForever",1
"13667","URautelaForever833","_nandanetf","URautelaForever",1
"1648","kanimozhi84","_narad","kanimozhi",1
"11638","mkankunj","_Narad","mkankunj",1
"1740","harshkkapoor35","_natasha_999","harshkkapoor",1
"12953","URautelaForever119","_nehabanu_","URautelaForever",1
"13876","URautelaForever1042","_pallav13","URautelaForever",1
"1147","Atheist_Krishna83","_prejudiced","Atheist_Krishna",1
"324","gauravcsawant21","_proud_indian_","gauravcsawant",1
"13909","URautelaForever1075","_raimin__","URautelaForever",1
"598","gauravcsawant295","_raja_babu","gauravcsawant",1
"11654","rupasubramanya6","_raja_babu","rupasubramanya",1
"15857","HumorMinistry37","_rajatsharma","HumorMinistry",1
"2120","ModiBharosa287","_rakeshdey","ModiBharosa",1
"5465","coolfunnytshirt4","_ratnesh","coolfunnytshirt",1
"7011","MIB_India76","_saurabhkishore","MIB_India",1
"14472","5Forty3122","_sayta","5Forty3",1
"7506","TheMehulPatel8","_sh5un3","TheMehulPatel",1
"3513","RoflGandhi_28","_shamim7","RoflGandhi_",1
"14904","Janamejayan5","_sk2016","Janamejayan",1
"15816","JustinSandefur18","_srinivasandra","JustinSandefur",1
"19406","iimcomic","_standupcentral","iimcomic",-1
"19400","karthikvadde18","_standupcentral","karthikvadde18",-1
"11999","radheyshyamsin6","_SwarajIndia","radheyshyamsin6",-1
"12699","workingonnow","_SwarajIndia","workingonnow",-1
"13990","URautelaForever1156","_tejaschouhan","URautelaForever",1
"3573","RoflGandhi_88","_ursnaveen","RoflGandhi_",1
"5594","dna14","_vishal_mishra_","dna",1
"14868","priyaakulkarni268","_vtaar","priyaakulkarni2",1
"6602","_WomanInAttic","_womaninattic","_WomanInAttic",0
"6601","_womaninattic","_WomanInAttic","_womaninattic",0
"20023","jadav_m","_YogendraYadav","jadav_m",0
"15713","Lukewearechange5","_yvonneburton","Lukewearechange",1
"13123","URautelaForever289","_zaalima","URautelaForever",1
"191","rssurjewala189","_zayaan","rssurjewala",1
