"","Cluster_no","Tweet_ID","Created","User_name","Retweet_count","Original_User"
"13852",14,10424,"17-04-2017 08:09","ra1vi2",0,"ra1vi2"
"13851",14,7989,"22-11-2016 10:58","judets",331,"rssurjewala"
"13849",14,7982,"22-11-2016 10:59","JSK__11",331,"rssurjewala"
"13850",14,7985,"22-11-2016 10:59","syedmohdyasir3",331,"rssurjewala"
"13847",14,7973,"22-11-2016 11:00","PriyabrataT",331,"rssurjewala"
"13848",14,7978,"22-11-2016 11:00","Sameer470",331,"rssurjewala"
"13845",14,7964,"22-11-2016 11:01","deepakrajsuman2",331,"rssurjewala"
"13846",14,7965,"22-11-2016 11:01","RavindraMohanty",331,"rssurjewala"
"13843",14,7955,"22-11-2016 11:02","nirala_st",331,"rssurjewala"
"13844",14,7961,"22-11-2016 11:02","ahmedhussainn1",331,"rssurjewala"
"13842",14,7949,"22-11-2016 11:04","ammiedgr8",331,"rssurjewala"
"13841",14,7938,"22-11-2016 11:06","b_richardn",331,"rssurjewala"
"13840",14,7922,"22-11-2016 11:08","sventure007",331,"rssurjewala"
"13839",14,7905,"22-11-2016 11:11","narende95085739",331,"rssurjewala"
"13838",14,7901,"22-11-2016 11:12","annavetticad",331,"rssurjewala"
"13836",14,7893,"22-11-2016 11:14","amitazad67",331,"rssurjewala"
"13837",14,7896,"22-11-2016 11:14","rakeshrammi",331,"rssurjewala"
"13835",14,7892,"22-11-2016 11:15","harmony1960",331,"rssurjewala"
"13834",14,7881,"22-11-2016 11:16","lop_india",331,"rssurjewala"
"13832",14,7869,"22-11-2016 11:18","puriyash41",331,"rssurjewala"
"13833",14,7871,"22-11-2016 11:18","Sandeep1481996",331,"rssurjewala"
"13831",14,7855,"22-11-2016 11:20","Faller18",331,"rssurjewala"
"13828",14,7847,"22-11-2016 11:22","singhmahavir50",331,"rssurjewala"
"13829",14,7848,"22-11-2016 11:22","cryptex_221B",331,"rssurjewala"
"13830",14,7849,"22-11-2016 11:22","SunitaWilson72",331,"rssurjewala"
"13827",14,7841,"22-11-2016 11:23","rajendra006",331,"rssurjewala"
"13825",14,7835,"22-11-2016 11:24","mahesharma39",331,"rssurjewala"
"13826",14,7838,"22-11-2016 11:24","goeltm_tg",331,"rssurjewala"
"13823",14,7828,"22-11-2016 11:26","gnh94ster",331,"rssurjewala"
"13824",14,7829,"22-11-2016 11:26","NARPATSHETH",331,"rssurjewala"
"13820",14,7821,"22-11-2016 11:28","ShrutiS04072118",331,"rssurjewala"
"13821",14,7823,"22-11-2016 11:28","SiddiqueMobin",331,"rssurjewala"
"13822",14,7824,"22-11-2016 11:28","kapilreet",331,"rssurjewala"
"13819",14,7818,"22-11-2016 11:29","sunil_iyc",331,"rssurjewala"
"13817",14,7808,"22-11-2016 11:31","BolRaghu",331,"rssurjewala"
"13818",14,7812,"22-11-2016 11:31","PreetiRnair",331,"rssurjewala"
"13816",14,7805,"22-11-2016 11:32","ejazr",331,"rssurjewala"
"13815",14,7803,"22-11-2016 11:33","acchandramouli",331,"rssurjewala"
"13814",14,7794,"22-11-2016 11:35","misirspeaks",331,"rssurjewala"
"13813",14,7784,"22-11-2016 11:36","smadygo",331,"rssurjewala"
"13812",14,7773,"22-11-2016 11:39","mrpankajsethi",331,"rssurjewala"
"13811",14,7766,"22-11-2016 11:40","rohitpanwar9999",331,"rssurjewala"
"13809",14,7761,"22-11-2016 11:41","romandsouza",331,"rssurjewala"
"13810",14,7762,"22-11-2016 11:41","Siddharth_Majra",331,"rssurjewala"
"13807",14,7755,"22-11-2016 11:42","RizviSalim",331,"rssurjewala"
"13808",14,7758,"22-11-2016 11:42","Balaindrajith",331,"rssurjewala"
"13806",14,7746,"22-11-2016 11:45","faridshaikh984",331,"rssurjewala"
"13805",14,7736,"22-11-2016 11:48","dharmmeena",331,"rssurjewala"
"13804",14,7692,"22-11-2016 11:54","SNK238",331,"rssurjewala"
"13803",14,7689,"22-11-2016 11:55","Naveen1177",331,"rssurjewala"
"13802",14,7679,"22-11-2016 11:56","natasha_2o1o",331,"rssurjewala"
"13801",14,7669,"22-11-2016 11:59","DharamC05536997",331,"rssurjewala"
"13800",14,7646,"22-11-2016 12:00","faisalmalegaon",331,"rssurjewala"
