"","retweeters","tweeters","edge_type","weight"
"1","joekeene","___kiwi____","Tweet_edge",1
"2","BridgetMarie","___miyastrong","Tweet_edge",1
"3","joekeene","___tanah","Tweet_edge",1
"4","iiLoveKARMA_","___yeezus__","Tweet_edge",1
"5","iiLoveKARMA_","__annnaa","Tweet_edge",1
"6","iiLoveKARMA_","__dresey","Tweet_edge",1
"7","CharityMapleSop","__himoverdere","Tweet_edge",1
"8","trapafasa","__iamlolo","Tweet_edge",1
"9","iiLoveKARMA_","__jewelss_","Tweet_edge",1
"10","joekeene","__jimmyguapp10","Tweet_edge",1
"11","joekeene","__jonreyes","Tweet_edge",1
"12","theoneprinceton","__loriangel","Tweet_edge",1
"13","pnehlen","__lrb__","Tweet_edge",1
"14","itsjackhess","__m00nchild__","Tweet_edge",1
"15","TheMercedesXXX","__midnightnarry","Tweet_edge",1
"16","AltNatParkSer","__mimi5","Tweet_edge",1
"17","allicatttx","__queenhaze","Tweet_edge",1
"18","JahovasWitniss","__rjane","Tweet_edge",1
"19","ThePatriot143","__voted4trump__","Tweet_edge",1
"20","ThePatriot143","_9boese9woelfin","Tweet_edge",1
"21","20x99","_akrxo","Tweet_edge",1
"22","iiLoveKARMA_","_alex__vega_","Tweet_edge",1
"23","AltNatParkSer","_ameliorator_","Tweet_edge",1
"24","pnehlen","_arcy__","Tweet_edge",1
"25","UR_Ninja","_badvibration","Tweet_edge",1
"26","joekeene","_bensully","Tweet_edge",1
"27","GrrrGraphics","_bernardo_gui","Tweet_edge",1
"28","RichardAngwin","_bethaknee","Tweet_edge",1
"29","joekeene","_briiannnaaa","Tweet_edge",1
"30","ThePatriot143","_cara_mia_","Tweet_edge",1
"31","joekeene","_celia_bedelia_","Tweet_edge",1
"32","luckyjimsling","_chefzilla_","Tweet_edge",1
"33","HolstKai","_chris_april","Tweet_edge",1
"34","MrDylanEvans","_chrissteele","Tweet_edge",1
"35","MrDylanEvans","_cocomania_","Tweet_edge",1
"36","nikkigiavani","_daddychrisss","Tweet_edge",1
"37","joekeene","_danny_1976","Tweet_edge",1
"38","joekeene","_dianny_","Tweet_edge",1
"39","WSHHcomedy","_edgarfalcond","Tweet_edge",1
"40","iiLoveKARMA_","_eezy___","Tweet_edge",1
"41","AngryBlackLady","_elizabeth_k","Tweet_edge",1
"42","dailyellenpage","_ellenpagefans_","Tweet_edge",1
"43","iiLoveKARMA_","_elmo4evafly","Tweet_edge",1
"44","The1975Planet","_emptydream","Tweet_edge",1
"45","SearchSecurity","_erickrodriguez","Tweet_edge",1
"46","NormanGolightly","_excusemyswank","Tweet_edge",1
"47","_FLEX4U","_flex4u","Tweet_edge",1
"48","itscomedyVines","_fxezz","Tweet_edge",1
"49","joekeene","_heidirw","Tweet_edge",1
"50","JahovasWitniss","_heyitslitboy_2","Tweet_edge",1
"51","trustnorminah","_hipsterlifee","Tweet_edge",1
"52","GrrrGraphics","_homo_vulgaris_","Tweet_edge",1
"53","3lectric5heep","_inkling_","Tweet_edge",1
"54","gprofessx","_jaszmineeeeee","Tweet_edge",1
"55","visecs","_jayfs","Tweet_edge",1
"56","JahovasWitniss","_jordidv","Tweet_edge",1
"57","realEricSchulz","_joy_r","Tweet_edge",1
"58","joekeene","_katrinag_","Tweet_edge",1
"59","michelle_sagan","_kaylaa2_","Tweet_edge",1
"60","DankMemes","_kelseycole","Tweet_edge",1
"61","PoliticalHedge","_kimberlycarol","Tweet_edge",1
"62","drayzze","_kingjay305","Tweet_edge",1
"63","USNavy","_kristen02","Tweet_edge",1
"64","TrailerJam","_lastromanking","Tweet_edge",1
"65","ThePatriot143","_lettergirl","Tweet_edge",1
"66","funder","_liberalkilljoy","Tweet_edge",1
"67","pnehlen","_lock_her_up","Tweet_edge",1
"68","FunnyVines","_lodgelovindat_","Tweet_edge",1
"69","ClimateReality","_loveslondon","Tweet_edge",1
"70","iiLoveKARMA_","_lovetrinity_","Tweet_edge",1
"71","joekeene","_maritssa_","Tweet_edge",1
"72","AltNatParkSer","_meganmcclain","Tweet_edge",1
"73","ThePatriot143","_miscstuff_","Tweet_edge",1
"74","TroluKejri","_mrfunnybones","Tweet_edge",1
"75","joekeene","_mrlavic","Tweet_edge",1
"76","joekeene","_nathy","Tweet_edge",1
"77","50sAnd60s","_nicoleraymunt","Tweet_edge",3
"78","iiLoveKARMA_","_niyah17","Tweet_edge",1
"79","iiLoveKARMA_","_notlorenzo","Tweet_edge",1
"80","StockBoardAsset","_ogonna_","Tweet_edge",1
"81","3lectric5heep","_ontheright_","Tweet_edge",1
"82","RandolpheLibre","_osint_","Tweet_edge",1
"83","joekeene","_pascuzzo","Tweet_edge",1
"84","3lectric5heep","_pcantagonista","Tweet_edge",1
"85","FunnyVines","_popesodope","Tweet_edge",1
"86","FunnyVines","_rebeccaeve_","Tweet_edge",1
"87","ItsCelineAScene","_ryanmaes_","Tweet_edge",1
"88","nikkidunagan","_sacramental","Tweet_edge",1
"89","_Snape_","_samanthughh","Tweet_edge",1
"90","JahovasWitniss","_shawn_d13","Tweet_edge",1
"91","iiLoveKARMA_","_shawtytrill","Tweet_edge",1
"92","ThePatriot143","_starlightlive_","Tweet_edge",1
"93","JahovasWitniss","_thatboycaleb","Tweet_edge",1
"94","3lectric5heep","_therealbecky","Tweet_edge",1
"95","ThePatriot143","_therealbecky","Tweet_edge",1
"96","iiLoveKARMA_","_toddrichter","Tweet_edge",1
"97","itscomedyVines","_tooclutchkj","Tweet_edge",1
"98","WSHHcomedy","_unrelateable_","Tweet_edge",1
"99","Bros4America","_xoaalanis","Tweet_edge",1
"100","WSHHcomedy","_xtopnotch","Tweet_edge",1
"101","joekeene","_yikesitssab_xo","Tweet_edge",1
"102","joekeene","_yourstruly_sam","Tweet_edge",1
"103","iiLoveKARMA_","_zuracy","Tweet_edge",1
"104","IanPTrait","007harvey","Tweet_edge",1
"105","InconvenientTr1","00lilac_sky00","Tweet_edge",1
"106","ThePatriot143","0124palin","Tweet_edge",1
"107","WilcoMeThat","01mbthebest","Tweet_edge",1
"108","pnehlen","01splcheck","Tweet_edge",1
"109","FoxNews","0522james","Tweet_edge",1
"110","DankMemes","0708_224","Tweet_edge",1
"111","ThePatriot143","0766b10abc12461","Tweet_edge",1
"112","3lectric5heep","0d74125c047c43b","Tweet_edge",1
"113","NewsHour","0f45cc98c8b54da","Tweet_edge",1
"114","NewsHour","0hshittox","Tweet_edge",1
"115","DanJGross","0qx2fl8etixpe1v","Tweet_edge",1
"116","1_Hoof_Hearted","1_hoof_hearted","Tweet_edge",1
"117","TEN_GOP","1_hoof_hearted","Tweet_edge",1
"118","AltNatParkSer","100concerned","Tweet_edge",1
"119","ThePatriot143","1019dotty","Tweet_edge",1
"120","bigblagger","101mothergoose","Tweet_edge",1
"121","ThePatriot143","107loi","Tweet_edge",1
"122","FunnyVines","10buckry","Tweet_edge",1
"123","joekeene","10kbc","Tweet_edge",1
"124","AP_Politics","113makg","Tweet_edge",1
"125","ThePatriot143","11b_mic","Tweet_edge",1
"126","pnehlen","11gar5","Tweet_edge",1
"127","pnehlen","1200rgsrider","Tweet_edge",1
"128","Acosta","121bombero","Tweet_edge",1
"129","GeraldoRivera","12345kury","Tweet_edge",1
"130","Thomas1774Paine","123jayne","Tweet_edge",1
"131","donaldbroom","12voltman60","Tweet_edge",1
"132","Fingersflying","12voltman60","Tweet_edge",1
"133","USNavy","13buzzc69","Tweet_edge",1
"134","TrumpWhiteHouse","1431resistance","Tweet_edge",1
"135","3lectric5heep","1432721","Tweet_edge",1
"136","coolbearcjs","14waffenwolf88","Tweet_edge",1
"137","lotterypicker","15_athens","Tweet_edge",1
"138","PatriciaKellogg","16campaignbites","Tweet_edge",1
"139","3lectric5heep","16theyr","Tweet_edge",1
"140","cspan","174aee28f702435","Tweet_edge",1
"141","ThePatriot143","1776revisited","Tweet_edge",1
"142","joekeene","1800wxng","Tweet_edge",1
"143","juliaioffe","18diannem","Tweet_edge",1
"144","ThePatriot143","18ean13","Tweet_edge",1
"145","Funny_Tweat","1979mystika","Tweet_edge",1
"146","pnehlen","19fisherman59","Tweet_edge",1
"147","TEN_GOP","1americanwoman","Tweet_edge",1
"148","FeimM","1amournikki99","Tweet_edge",1
"149","AntonioArellano","1b7te32n6ddokdn","Tweet_edge",1
