,retweeters,tweeters,edge_type,weight
1,FrustIndian,___baddog,Tweet_edge,1
2,YesIamSaffron,___jcs,Tweet_edge,1
3,sumongantait,__yamaniyaa,Tweet_edge,1
4,sajid_Yousuf_,_10compassion,Tweet_edge,1
5,URautelaForever,_ajaytiwari79,Tweet_edge,1
6,Dipankar_cpiml,_ajeett,Tweet_edge,1
7,mkatju,_ajeett,Tweet_edge,1
8,vikrantkumar,_antithesis_1,Tweet_edge,1
9,URautelaForever,_anubhav_singh_,Tweet_edge,1
10,Timcast,_archdornan_,Tweet_edge,1
11,5Forty3,_ashim__,Tweet_edge,1
12,IamRitzV,_baatcutter,Tweet_edge,2
13,aaanupriyaaa,_beinggaurav,Tweet_edge,1
14,aaanupriyaaa,_bishal20_,Tweet_edge,1
15,jokinjey,_cucumber_melon,Tweet_edge,1
16,Memeghnad,_cucumber_melon,Tweet_edge,1
17,dna,_darkhumor,Tweet_edge,1
18,ChilliFL,_desibuzz,Tweet_edge,1
19,AmarKrishnaJha,_drcool_,Tweet_edge,1
20,BSLMF,_drcool_,Tweet_edge,1
21,Timcast,_drfister,Tweet_edge,1
22,AmiteshK01,_dsrajput,Tweet_edge,1
23,5Forty3,_flamboyant_,Tweet_edge,1
24,pavanaja,_harishl,Tweet_edge,1
25,URautelaForever,_harveersingh,Tweet_edge,1
26,URautelaForever,_himanshusuman,Tweet_edge,1
27,_Hinduism_,_hinduism_,Tweet_edge,1
28,URautelaForever,_iamdineshreddy,Tweet_edge,1
29,gauravcsawant,_iamsanjiv_,Tweet_edge,1
30,harshkkapoor,_its_rahul,Tweet_edge,1
31,harshkkapoor,_letkarmadoit4u,Tweet_edge,1
32,rahulroushan,_letkarmadoit4u,Tweet_edge,1
33,max70391931,_luxsplendor,Tweet_edge,1
34,harshkkapoor,_manish_pal,Tweet_edge,1
35,Joydeep_911,_manish_pal,Tweet_edge,1
36,NCIndi,_mataprasad,Tweet_edge,1
37,_MiteshPatel,_mittalshah,Tweet_edge,1
38,aartic02,_mohdriyaz,Tweet_edge,1
39,URautelaForever,_myself_kishan_,Tweet_edge,1
40,URautelaForever,_nandanetf,Tweet_edge,1
41,kanimozhi,_narad,Tweet_edge,1
42,harshkkapoor,_natasha_999,Tweet_edge,1
43,URautelaForever,_nehabanu_,Tweet_edge,1
44,URautelaForever,_pallav13,Tweet_edge,1
45,Atheist_Krishna,_prejudiced,Tweet_edge,1
46,gauravcsawant,_proud_indian_,Tweet_edge,1
47,URautelaForever,_raimin__,Tweet_edge,1
48,gauravcsawant,_raja_babu,Tweet_edge,1
49,rupasubramanya,_raja_babu,Tweet_edge,1
50,HumorMinistry,_rajatsharma,Tweet_edge,1
51,ModiBharosa,_rakeshdey,Tweet_edge,1
52,coolfunnytshirt,_ratnesh,Tweet_edge,1
53,MIB_India,_saurabhkishore,Tweet_edge,1
54,5Forty3,_sayta,Tweet_edge,1
55,TheMehulPatel,_sh5un3,Tweet_edge,1
56,RoflGandhi_,_shamim7,Tweet_edge,1
57,Janamejayan,_sk2016,Tweet_edge,1
58,JustinSandefur,_srinivasandra,Tweet_edge,1
59,URautelaForever,_tejaschouhan,Tweet_edge,1
60,RoflGandhi_,_ursnaveen,Tweet_edge,1
61,dna,_vishal_mishra_,Tweet_edge,1
62,priyaakulkarni2,_vtaar,Tweet_edge,1
63,_WomanInAttic,_womaninattic,Tweet_edge,1
64,Lukewearechange,_yvonneburton,Tweet_edge,1
65,URautelaForever,_zaalima,Tweet_edge,1
66,rssurjewala,_zayaan,Tweet_edge,1
67,ippatel,000hansa,Tweet_edge,1
68,Atheist_Krishna,000mrs000,Tweet_edge,1
69,mkatju,007_ammy,Tweet_edge,1
70,URautelaForever,007ajsaiyed,Tweet_edge,1
71,URautelaForever,007ekram,Tweet_edge,1
72,parthology,01karn,Tweet_edge,1
73,absolutethinker,02neeha,Tweet_edge,1
74,aaanupriyaaa,05apuuuuu,Tweet_edge,1
75,JPAL_Global,06qlogk2bpnstkq,Tweet_edge,1
76,PIB_India,0786sartaj,Tweet_edge,1
77,5Forty3,0807ankit,Tweet_edge,2
78,jan14anurag,0807ankit,Tweet_edge,1
79,manijgd,0807ankit,Tweet_edge,1
80,pGurus1,0807ankit,Tweet_edge,1
81,harshkkapoor,0b28370da78a482,Tweet_edge,1
82,gauravcsawant,0yogen,Tweet_edge,1
83,_MiteshPatel,10_rekha,Tweet_edge,1
84,rssurjewala,10anandrai,Tweet_edge,1
85,_MiteshPatel,11boms,Tweet_edge,1
86,URautelaForever,123mahendrainda,Tweet_edge,1
87,ShirishKunder,123nida321,Tweet_edge,2
88,mahcongress,126_sonu,Tweet_edge,1
89,mahcongress,126sudhir,Tweet_edge,1
90,ShashiTharoor,12anjusri,Tweet_edge,1
91,DrKumarVishwas,13amit1313,Tweet_edge,1
92,AdityaNair20,16vpm,Tweet_edge,1
93,akpndy,1824sphurthy,Tweet_edge,1
94,sunil131415,1857penguin,Tweet_edge,1
95,_MiteshPatel,18kruti,Tweet_edge,1
96,_MiteshPatel,18vikaram,Tweet_edge,1
97,_MiteshPatel,19_vikash,Tweet_edge,2
98,gauravcsawant,1901anupam,Tweet_edge,1
99,ModiBharosa,1901anupam,Tweet_edge,1
100,shilpakannan,1985jay,Tweet_edge,1
101,gauravcsawant,1986anilshukla,Tweet_edge,1
102,HumorMinistry,19sbs,Tweet_edge,1
103,DrKumarVishwas,1azharqureshi,Tweet_edge,1
104,hi_paresh,1businessrule,Tweet_edge,1
105,rahulroushan,1dharmma,Tweet_edge,1
106,SanklechaD,1karnareddy,Tweet_edge,1
107,ShefVaidya,1karnareddy,Tweet_edge,2
108,morphonios,1lbz1,Tweet_edge,1
109,_MiteshPatel,1ojas,Tweet_edge,1
110,YesIamSaffron,1shaktiman,Tweet_edge,1
111,RNTata2000,1sunnyelias,Tweet_edge,1
112,UrjitPatelRBI,2020katy2020,Tweet_edge,1
113,ashu3page,2023ajith,Tweet_edge,1
114,Hemant_80,2023ajith,Tweet_edge,1
115,Joydas,2023ajith,Tweet_edge,1
116,PiyushGoyalOffc,2181viral,Tweet_edge,1
117,URautelaForever,21century_kant,Tweet_edge,1
118,rahulroushan,250praveen,Tweet_edge,1
119,RitikaSpeaks,250praveen,Tweet_edge,1
