"","retweeters","tweeters","edge_type","weight"
"1","ArvindKejriwal
htt…","___jcs","Mention_edge",1
"2","dhume","_ajaykumargupta","Mention_edge",1
"3","evanspiegel","_ajaytiwari79","Mention_edge",1
"4","evanspiegel","_anubhav_singh_","Mention_edge",1
"5","evanspiegel!","_asif","Mention_edge",1
"6","narendramodi","_asif","Mention_edge",1
"7","evanspiegel","_beinggaurav","Mention_edge",1
"8","evanspiegel","_bishal20_","Mention_edge",1
"9","karupalaniappan","_cucumber_melon","Mention_edge",1
"10","S_Rvignesh","_cucumber_melon","Mention_edge",1
"11","YouTube","_dailycrazy","Mention_edge",1
"12","American__Singh","_deep_thinker","Mention_edge",1
"13","iAkshayTeotia7","_deep_thinker","Mention_edge",1
"14","iamnotthatrahul","_deep_thinker","Mention_edge",1
"15","jaf_jamesbond","_deep_thinker","Mention_edge",1
"16","Noomiiali","_deep_thinker","Mention_edge",1
"17","priyankachopra…","_deep_thinker","Mention_edge",1
"18","sonunigam","_deep_thinker","Mention_edge",1
"19","ndtv","_deepika_n","Mention_edge",1
"20","publictvnews","_deepika_n","Mention_edge",1
"21","tv9kannada","_deepika_n","Mention_edge",2
"22","giphy
Those","_desibuzz","Mention_edge",1
"23","_prashantnair","_drcool_","Mention_edge",1
"24","CNBCTV18Live","_drcool_","Mention_edge",1
"25","BDUTT","_dsrajput","Mention_edge",1
"26","RanaAyyub","_dsrajput","Mention_edge",1
"27","sagarikaghose","_dsrajput","Mention_edge",1
"28","prajavani","_gagana_1","Mention_edge",1
"29","publictvnews","_gagana_1","Mention_edge",1
"30","evanspiegel","_harveersingh","Mention_edge",1
"31","ArvindKejriwal","_hazirjawab","Mention_edge",1
"32","MamataOfficial","_hazirjawab","Mention_edge",1
"33","OfficeOfRG?","_hazirjawab","Mention_edge",1
"34","evanspiegel","_himanshusuman","Mention_edge",1
"35","evanspiegel","_iamdineshreddy","Mention_edge",1
"36","evanspiegel","_myself_kishan_","Mention_edge",1
"37","evanspiegel","_nandanetf","Mention_edge",1
"38","shilpitewari","_narad","Mention_edge",1
"39","malviyamit","_neerajk","Mention_edge",1
"40","evanspiegel","_nehabanu_","Mention_edge",1
"41","evanspiegel","_pallav13","Mention_edge",1
"42","evanspiegel","_raimin__","Mention_edge",1
"43","suvarnanewstv","_rajeshk_","Mention_edge",1
"44","tv9kannada","_rajeshk_","Mention_edge",1
"45","narendramodi","_rakeshdey","Mention_edge",1
"46","DasShaktikanta","_saurabhkishore","Mention_edge",1
"47","FinMinIndia","_saurabhkishore","Mention_edge",1
"48","arvindsubraman","_srinivasandra","Mention_edge",1
"49","MartinRavall…","_srinivasandra","Mention_edge",1
"50","iimcomic","_standupcentral","Mention_edge",1
"51","evanspiegel","_tejaschouhan","Mention_edge",1
"52","ArvindKejriwal","_umeshkumardas","Mention_edge",1
"53","myogiadityanath","_umeshkumardas","Mention_edge",1
"54","Manankmr","_vishal_mishra_","Mention_edge",1
"55","evanspiegel","_zaalima","Mention_edge",1
"56","evanspiegel","007ajsaiyed","Mention_edge",1
"57","evanspiegel","007ekram","Mention_edge",1
"58","AvinashAnuragi","025batman","Mention_edge",2
"59","kamaalrkhan","025batman","Mention_edge",2
"60","SanjayJha","025batman","Mention_edge",2
"61","csbhakuni","02neeha","Mention_edge",1
"62","SPRE_Official","02neeha","Mention_edge",1
"63","evanspiegel","05apuuuuu","Mention_edge",1
"64","","06qlogk2bpnstkq","Mention_edge",1
"65","DasShaktikanta","0786sartaj","Mention_edge",1
"66","UnS…","0807ankit","Mention_edge",1
"67","upma23","0807ankit","Mention_edge",1
"68","narendramodi","123architsood","Mention_edge",1
"69","evanspiegel","123mahendrainda","Mention_edge",1
"70","…","16vpm","Mention_edge",1
"71","PrasadAol","16vpm","Mention_edge",1
"72","rashminp","16vpm","Mention_edge",1
"73","TarekFatah","16vpm","Mention_edge",1
"74","avi41968490","1857penguin","Mention_edge",1
"75","Doga_Uncle","1857penguin","Mention_edge",1
"76","sonunigam","1857penguin","Mention_edge",1
"77","narendramodi","1901anupam","Mention_edge",1
"78","bhavanarnath","1977_senthil","Mention_edge",1
"79","Vidyut","1977_senthil","Mention_edge",1
"80","sanjayuv…","1businessrule","Mention_edge",1
"81","ArvindKejriwal
htt…","1shaktiman","Mention_edge",1
"82","evanspiegel","21century_kant","Mention_edge",1
"83","CMOMaha…","26arnavsagar","Mention_edge",1
"84","CMOMaharas…","26arnavsagar","Mention_edge",1
"85","MahaDGIPR","26arnavsagar","Mention_edge",2
"86","narendramodi","3101gp","Mention_edge",1
"87","narendramodi","34a5912609794c8","Mention_edge",1
"88","evanspiegel","3idiotsj","Mention_edge",1
"89","narendramodi","4_everabhi","Mention_edge",1
"90","arvindsubraman","4mypeers","Mention_edge",1
"91","MartinRavall…","4mypeers","Mention_edge",1
"92","PMOIndia","4ushashishekhar","Mention_edge",1
"93","Memeghnad","500urvashi","Mention_edge",1
"94","naam_pk","500urvashi","Mention_edge",1
"95","narendramodi","5500bhupi","Mention_edge",1
"96","narendramodi","56perumal","Mention_edge",2
"97","postcard_news","56perumal","Mention_edge",1
"98","evanspiegel","6b9574b803c1480","Mention_edge",1
"99","evanspiegel","6feac377b097423","Mention_edge",1
"100","narendramodi","747alok","Mention_edge",1
"101","RBI","747alok","Mention_edge",1
"102","narendramodi","76cffefa5a1c4e2","Mention_edge",1
"103","","7ramreddy7ram","Mention_edge",1
"104","arunjaitley","7ramreddy7ram","Mention_edge",1
"105","YouTube","80spcc","Mention_edge",1
"106","narendramodi","82013pravin","Mention_edge",1
"107","…","85_ritika","Mention_edge",1
"108","PrasadAol","85_ritika","Mention_edge",1
"109","rashminp","85_ritika","Mention_edge",1
"110","TarekFatah","85_ritika","Mention_edge",1
"111","UnS…","870f4906f95f4d8","Mention_edge",1
"112","upma23","870f4906f95f4d8","Mention_edge",1
"113","narendramodi","881977raju","Mention_edge",1
"114","narendramodi","8dssoni","Mention_edge",1
"115","narendramodi","943c39bb70b245e","Mention_edge",2
"116","IAmVarunTej","999neelesh","Mention_edge",1
"117","narendramodi.....","999neelesh","Mention_edge",1
"118","PawanKalyan","999neelesh","Mention_edge",1
"119","RGVzoomin","999neelesh","Mention_edge",1
"120","evanspiegel","9auravk","Mention_edge",1
"121","minimathur","9u9gcg69l7kuu4k","Mention_edge",1
"122","ArvindKejriwal","a_miglani","Mention_edge",1
"123","bharat_builder","a_observr","Mention_edge",1
"124","narendramodi","a_observr","Mention_edge",1
"125","SankarshanT","a1mit","Mention_edge",1
"126","UnS…","a31x64vijay","Mention_edge",1
"127","upma23","a31x64vijay","Mention_edge",1
"128","evanspiegel","aaanupriyaaa","Mention_edge",1
"129","DasShaktikanta","aabha110","Mention_edge",2
"130","FinMinIndia","aabha110","Mention_edge",1
"131","TimesNow","aabothale","Mention_edge",1
"132","evanspiegel","aadarsh8lunia","Mention_edge",1
"133","DasShaktikanta","aadhiseshu2","Mention_edge",2
"134","FinMinIndia","aadhiseshu2","Mention_edge",1
"135","evanspiegel","aadil07869","Mention_edge",1
"136","evanspiegel","aadirajput2016","Mention_edge",1
"137","DasShaktikanta","aaditya793","Mention_edge",2
"138","FinMinIndia","aaditya793","Mention_edge",1
"139","DasShaktikanta","aaditya810","Mention_edge",2
"140","FinMinIndia","aaditya810","Mention_edge",1
