"","retweeters","tweeters","edge_type","weight"
"1","yashar","____alyssahead","Tweet_edge",1
"2","TEN_GOP","____ssya____","Tweet_edge",1
"3","womensmarch","___lorraine__","Tweet_edge",1
"4","PopCrave","___njhxx13","Tweet_edge",1
"5","RiRiHumor","__aaanadroj","Tweet_edge",1
"6","yashar","__amordulce","Tweet_edge",1
"7","womensmarch","__arkytior____","Tweet_edge",1
"8","yashar","__catinthehat","Tweet_edge",1
"9","yashar","__laura_mcqueen","Tweet_edge",1
"10","CathleenTrigg","__mlchellelynn","Tweet_edge",1
"11","PopCrave","__nitin____","Tweet_edge",1
"12","MileysCyrusNews","__rainbowlife__","Tweet_edge",1
"13","MileyUpdateEU","__rainbowlife__","Tweet_edge",1
"14","womensmarch","__rooo","Tweet_edge",1
"15","PopCrave","__shiningstarr","Tweet_edge",1
"16","tteegar","__tank___","Tweet_edge",1
"17","zlando","__trill__nae","Tweet_edge",1
"18","Almaharel","__xxtyy","Tweet_edge",1
"19","RelatableQuote","_2s5__","Tweet_edge",1
"20","RaquelWillis_","_92infinity","Tweet_edge",1
"21","TheSaraMarie71","_abby__normal_","Tweet_edge",1
"22","womensmarch","_al_man","Tweet_edge",1
"23","womensmarch","_alisha_ann","Tweet_edge",1
"24","PopCrave","_amandatinoco","Tweet_edge",1
"25","womensmarch","_amyanimallover","Tweet_edge",1
"26","MayaErgas","_anishdrh","Tweet_edge",1
"27","AnaBulger2","_anonzero","Tweet_edge",1
"28","mbrleigh","_araneae","Tweet_edge",1
"29","LanaParrilla","_ari_spn_","Tweet_edge",1
"30","PopCrave","_arianalovesu_","Tweet_edge",1
"31","yashar","_arssyn","Tweet_edge",1
"32","LoveMeLuLu22","_ashley8_","Tweet_edge",1
"33","womensmarch","_ashley8_","Tweet_edge",1
"34","yashar","_ashley8_","Tweet_edge",1
"35","jeffwooam_jeff","_b1p0larbear","Tweet_edge",1
"36","cindi_leive","_bc_news","Tweet_edge",1
"37","SuhaibSaqib1","_belleamor_","Tweet_edge",1
"38","womensmarch","_bethaknee","Tweet_edge",1
"39","PopCrave","_boladissima","Tweet_edge",1
"40","ArianaGrande","_brianbofficial","Tweet_edge",3
"41","greg_a_elliott","_canidae","Tweet_edge",1
