username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RajiniPrakash_;2017-01-09 05:11;1;4;"அனைத்து நடுநிலை ஊடகங்களும் நேற்று நடுநிலை இழந்தது....மாணம் கெட்ட ஊடகங்கள்.... #jallikattu #BAN PETA #RIP TN MEDIA pic.twitter.com/QLZlxptZKi";;;#jallikattu #BAN #RIP;"818241255490670593";https://twitter.com/RajiniPrakash_/status/818241255490670593
suman11karthik;2017-01-09 05:02;0;0;"@trishtrashers @iamAmyJackson @arya_offl @VishalKOfficial #jallikattu is our pride n culture.";;@trishtrashers @iamAmyJackson @arya_offl @VishalKOfficial;#jallikattu;"818239082648072192";https://twitter.com/suman11karthik/status/818239082648072192
aruncmurugesan;2017-01-09 05:02;1;0;"நடிகர் சங்க தேர்தலை நடு இரவுவரை நேரடி ஒளிப்பரப்பு செய்த ஊடகங்கள் #மெரினா பேரணியின் போது மட்டும் உறங்கிவிடுகிறது #wedojallikatu #jallikattu";;;# #wedojallikatu #jallikattu;"818238911491117057";https://twitter.com/aruncmurugesan/status/818238911491117057
palladianknight;2017-01-09 04:43;2;0;"#jallikattu #thamizhan @London, Ontario https://www. instagram.com/p/BPBXrZHh-YK/";;@London;#jallikattu #thamizhan;"818234158409363456";https://twitter.com/palladianknight/status/818234158409363456
VeeraTamizhan2;2017-01-09 04:34;12;7;"Majestic Indian bulls... #jallikattu is the 1ly way to save them. No one can stop us #wedojalikattu as this is our national duty pic.twitter.com/yb0j7mgwwK";;;#jallikattu #wedojalikattu;"818231838246248448";https://twitter.com/VeeraTamizhan2/status/818231838246248448
PrForexTrader;2017-01-09 04:25;0;5;"#Viratkohli #Anushka #weSupportJallikattu Youth Protesting to remove Ban on #Jallikattu https:// goo.gl/oAD6Kv .Its more than a Sport. pic.twitter.com/d4QDyuIFTr";;;#Viratkohli #Anushka #weSupportJallikattu #Jallikattu;"818229694214574080";https://twitter.com/PrForexTrader/status/818229694214574080
Meldyjoe;2017-01-09 04:08;0;0;"It's not from a movie Eliangargal ->tamilargal -> Naalaya Thalivargal Feeling proud #jallikattu pic.twitter.com/qAqKLzlaT3";;;#jallikattu;"818225278610571264";https://twitter.com/Meldyjoe/status/818225278610571264
PrForexTrader;2017-01-09 03:56;0;0;"@narendramodi #SupremeCourt #TamilNadu Request to watch Youth Protesting Ban on #Jallikattu https:// goo.gl/oAD6Kv #wesupportjallikattu";;@narendramodi;#SupremeCourt #TamilNadu #Jallikattu #wesupportjallikattu;"818222263807995905";https://twitter.com/PrForexTrader/status/818222263807995905
PrForexTrader;2017-01-09 03:55;1;5;"#SupremeCourt #NarendraModi #TamilNadu Request to watch Youth Protesting Ban on #Jallikattu https:// goo.gl/oAD6Kv #wesupportjallikattu pic.twitter.com/4929xUlsiz";;;#SupremeCourt #NarendraModi #TamilNadu #Jallikattu #wesupportjallikattu;"818221996773347328";https://twitter.com/PrForexTrader/status/818221996773347328
veeratalks;2017-01-09 03:45;60;49;"#ஜல்லிக்கட்டு தடை பற்றி தெளிவாக படம் போட்டு விளக்கம் கொடுக்கும் @AshokSrinithi சிங்காநல்லூர் #பாமக வேட்பாளர் 2016. Part 1/3 #Jallikattu pic.twitter.com/vVvgnLGJ4R";;@AshokSrinithi;# # #Jallikattu;"818219607572054016";https://twitter.com/veeratalks/status/818219607572054016
veeratalks;2017-01-09 03:33;125;108;"#ஜல்லிக்கட்டு தடை பற்றி தெளிவாக படம் போட்டு விளக்கம் கொடுக்கும் @AshokSrinithi சிங்காநல்லூர் #பாமக வேட்பாளர் 2016. Part 1/1 #Jallikattu pic.twitter.com/vLIBrGwfjm";;@AshokSrinithi;# # #Jallikattu;"818216506462965761";https://twitter.com/veeratalks/status/818216506462965761
Jean_Balan15;2017-01-09 03:25;0;0;"Thanks. I have more questions like, Jallikattu happens in TN so what happens in north part of India? What do they do? #jallikattu";;;#jallikattu;"818214645244821504";https://twitter.com/Jean_Balan15/status/818214645244821504
naveenanraji;2017-01-09 03:09;0;2;"Pullarichifying moment to see the support from new generation for #jallikattu";;;#jallikattu;"818210515164004353";https://twitter.com/naveenanraji/status/818210515164004353
harryhkwtd;2017-01-09 03:04;1;2;"@narendramodi #PETA #jallikattu #belgium #TamilNadu @SmileSettai @PTTVOnlineNews";;@narendramodi @SmileSettai @PTTVOnlineNews;#PETA #jallikattu #belgium #TamilNadu;"818209184474943488";https://twitter.com/harryhkwtd/status/818209184474943488
saransoftware;2017-01-09 03:03;0;1;"I support Jallikattu #wedojalikattu #jallikattu";;;#wedojalikattu #jallikattu;"818208911719366656";https://twitter.com/saransoftware/status/818208911719366656
kaartztam;2017-01-09 02:47;1;0;"அதே சமயம் அமீர் வைகோ போன்றவர்களையும் அனுமதிக்கூடாது. #jallikattu #ISupportJallikattu https:// twitter.com/TrichyMannaru/ status/818053753383202817 …";;;#jallikattu #ISupportJallikattu;"818205065475289089";https://twitter.com/kaartztam/status/818205065475289089
harryhkwtd;2017-01-09 02:42;3;3;"Today, we had a #JalliKattu [Eruthazhuvuthal] awareness campaign in Brussels,Belgium. @ndtv @CNN @FoxNews @news7tamil @ZeeNews #SaveFarmers pic.twitter.com/T9AsnRg8aS";;@ndtv @CNN @FoxNews @news7tamil @ZeeNews;#JalliKattu #SaveFarmers;"818203708500672512";https://twitter.com/harryhkwtd/status/818203708500672512
nirosht4u;2017-01-09 02:32;0;0;"#wedojallikatu #jallikattu #WeWantJallikattu";;;#wedojallikatu #jallikattu #WeWantJallikattu;"818201135324561409";https://twitter.com/nirosht4u/status/818201135324561409
BalajiJubilant;2017-01-09 02:23;0;0;"#WeSupportJallikattu #Jallikattu #TNneedsJALLIKATU";;;#WeSupportJallikattu #Jallikattu #TNneedsJALLIKATU;"818198872145227778";https://twitter.com/BalajiJubilant/status/818198872145227778
prbtwitts;2017-01-09 02:15;1;4;"#jallikattu #wedojallikatu Good show friends. #BanPeta https:// twitter.com/mohandreamer/s tatus/817963974889046016 …";;;#jallikattu #wedojallikatu #BanPeta;"818196932774526976";https://twitter.com/prbtwitts/status/818196932774526976
