tweeters,retweeters,weight
,cohelporg,1
,rwdrg,1
_avenu,donmufflerman,1
_avenu,everg3,1
_avenu,fighterpirate7,1
_avenu,iammlk48,1
_avenu,tauhid13,1
_avenu,trollabhakt,1
_HarshilNayak,saachin20,1
_HazirJawab,arunnutan,1
_Hinduism_,_hinduism_,1
_Hinduism_,zasambhu,1
_MiteshPatel,_mittalshah,1
_MiteshPatel,10_rekha,1
_MiteshPatel,11boms,1
_MiteshPatel,18kruti,1
_MiteshPatel,18vikaram,1
_MiteshPatel,19_vikash,2
_MiteshPatel,1ojas,1
_MiteshPatel,38jalpa,1
_MiteshPatel,500urvashi,1
_MiteshPatel,81_jignesh,1
_MiteshPatel,87_bansari,1
_MiteshPatel,aap_neel,1
_MiteshPatel,aap_petlad,1
_MiteshPatel,aapgujvolunteer,1
_MiteshPatel,aapingoa,1
_MiteshPatel,aapkipalki,1
_MiteshPatel,aapvind,1
_MiteshPatel,ahirchaarvi,1
_MiteshPatel,anshaap1,1
_MiteshPatel,baavachitra,1
_MiteshPatel,bajajhansal,1
_MiteshPatel,bomindus,1
_MiteshPatel,breakinews,3
_MiteshPatel,ca_sahay,1
_MiteshPatel,calvin30125,2
_MiteshPatel,chinmay_sav,1
_MiteshPatel,devenddr42,1
_MiteshPatel,eeshachawda,1
_MiteshPatel,gujaratdalit,1
_MiteshPatel,gujaratkiawaaz,1
_MiteshPatel,harshilgujarati,1
_MiteshPatel,i_am_anaskhan,1
_MiteshPatel,indieanarch,2
_MiteshPatel,jvsk3,1
_MiteshPatel,kamaaaa6,2
_MiteshPatel,kantiaap,1
_MiteshPatel,labdhibadger,1
_MiteshPatel,lalurohit1,1
_MiteshPatel,modi_krish1,1
_MiteshPatel,modijaisil,1
_MiteshPatel,naiksaransh,1
_MiteshPatel,namomad,1
_MiteshPatel,naveenbebra,1
_MiteshPatel,navikaarao,1
_MiteshPatel,nehapunjab,1
_MiteshPatel,nilshah2203,1
_MiteshPatel,officeofarjun,3
_MiteshPatel,patel_rajesh207,1
_MiteshPatel,phlli9,1
_MiteshPatel,prathidey,1
_MiteshPatel,r_krishnan09,1
_MiteshPatel,rambabu_14,1
_MiteshPatel,rana_fenny,1
_MiteshPatel,rathodshaiv,1
_MiteshPatel,rudrchotaliya,2
_MiteshPatel,sab_subh_hai,1
_MiteshPatel,sanjayvmor,1
_MiteshPatel,sawanpurohit,1
_MiteshPatel,sonamishere,1
_MiteshPatel,the_sailor_men,1
_MiteshPatel,tilakshroff,1
_MiteshPatel,umeshaappcmc,1
_MiteshPatel,vristib,1
_MiteshPatel,zaalimanna,1
_Narad,mkankunj,1
_standupcentral,iimcomic,1
_standupcentral,karthikvadde18,1
_SwarajIndia,radheyshyamsin6,1
_SwarajIndia,workingonnow,1
_WomanInAttic,_womaninattic,1
1997INDIAN,ajtnegi,1
1Patelzuber,3a6a51b16534495,1
1Patelzuber,afzalkhaniyc,1
1Patelzuber,anchanlata,1
1Patelzuber,annu_philip,1
1Patelzuber,ashfaque156,1
1Patelzuber,delhiite_ggn,1
1Patelzuber,farahishabina,1
1Patelzuber,furkansayed1,1
1Patelzuber,gops333,1
1Patelzuber,husainghw,1
1Patelzuber,manish_manisja,1
1Patelzuber,mikedesai,1
1Patelzuber,mintyghost,1
1Patelzuber,patelsarfaraz68,1
1Patelzuber,prabhakarup1,1
1Patelzuber,richasharma0971,1
1Patelzuber,sabnis_atmaram,1
1Patelzuber,sameer470,1
1Patelzuber,shabrawmk1,1
1Patelzuber,shyamlalaggarw1,1
1Patelzuber,tanim0104,1
1Patelzuber,zuber2712,1
616476fbde873af,xglgu5obsw9j6xe,1
A_Observr,cpsingh_punjab,1
AamAdmy,aamadmy,1
AAP_Updates,aap_updates,1
aapakhi,anjaniward184,1
AAPNewsAlert,bharatparivrtan,1
AAPNewsAlert,brijesh88220727,1
AAPNewsAlert,gaganm12,1
AAPNewsAlert,georgekurian4k,1
AAPNewsAlert,guru9899,1
AAPNewsAlert,ikumarashok,1
AAPNewsAlert,jblovesindia,1
AAPNewsAlert,kapilmudgal75,1
AAPNewsAlert,lailafiaz,1
AAPNewsAlert,mateenaap,1
AAPNewsAlert,matram_vande,1
AAPNewsAlert,mgmnair,1
AAPNewsAlert,moinaltaf47,1
AAPNewsAlert,muntaziraapka,1
AAPNewsAlert,rajeshpilania4,1
AAPNewsAlert,rajeshved36,1
AAPNewsAlert,rajkovvali,1
AAPNewsAlert,rkbahadur1,1
AAPNewsAlert,shalminhere,1
AAPVind,500urvashi,1
AAPVind,eagl3eye_,1
AAPVind,iholycow,1
AAPVind,ithetrollkiller,1
AAPVind,kehkdsunga,1
AAPVind,modi3rdclass,1
AAPVind,sehgal_indian,1
aartic02,_mohdriyaz,1
aartic02,aap_jehanabad,1
aartic02,aapdiwana,1
aartic02,aapjnp,1
aartic02,aapkamuzzammil,1
aartic02,aapkiaawaaz,2
aartic02,aaplogical,1
aartic02,achalk14,1
aartic02,amitazad67,1
aartic02,anilkmathur,1
aartic02,babucrpfdelhi,1
aartic02,beingayang,1
aartic02,bharmalreturns,1
aartic02,citizenspov,1
aartic02,cmasureshpetkar,1
aartic02,dangeo1982,1
aartic02,dasmld,1
aartic02,delhi_kapil,2
aartic02,deveshthwal,1
aartic02,dhruvrastogi04,1
aartic02,dineshattresh,1
aartic02,gamgrg,1
aartic02,gr8india,1
aartic02,guptanaveenji,1
aartic02,ichirpy,1
aartic02,imrankh23147478,1
aartic02,indigokores,1
aartic02,iraaajas,1
aartic02,irsh888n,1
aartic02,itwasnotme321,1
aartic02,jhon23camp,1
aartic02,kamlendrasingh3,1
aartic02,kaurrjit,1
aartic02,kishorforyou,1
aartic02,kziya743,1
aartic02,lovely_phaaji,1
aartic02,malaykumargiri,1
aartic02,malimpatel1,1
aartic02,meerashah5,1
aartic02,mrrdchavan,1
aartic02,msuthar000,1
aartic02,muzzammilaap,2
aartic02,naveenbebra,1
aartic02,ndb143,1
aartic02,nsarika,1
aartic02,osman_ali187,1
aartic02,pavan_sethi,1
aartic02,proudindian66,1
aartic02,rajamel2107,1
aartic02,ravindraathel,1
aartic02,rizwanrizzzii,1
aartic02,sandipcapt,1
aartic02,sharadg287,1
aartic02,shubhamaap,1
aartic02,skneel1,1
aartic02,sourabhjainiet,1
aartic02,sreeharsha2015,1
aartic02,sshail5455,1
aartic02,sudhans49891901,1
aartic02,sudhirreddy920,1
aartic02,svaquas,1
aartic02,tbshjml,1
