"","User_name","Node_type","dominance"
"1","lbmfkud5eipcyfc","User",0
"2","9gagtv","User",1
"3","edmpt9oq0nd7abq","User",0
"4","SpcStevens","User",1
"5","pbnray","User",0
"6","honestanes","User",0
"7","JahovasWitniss","User",6.90247702158863
"8","elway1771","User",0
"9","3lectric5heep","User",7.33608026037302
"10","0qx2fl8etixpe1v","User",0
"11","DanJGross","User",2.57604828518045
"12","cmhwa9yg1cw4eft","User",0
"13","FunnyVines","User",6.08628344279728
"14","muzzo11sb","User",0
"15","JCRaskaus","User",2.62862207215251
"16","arch_angel9999","User",0
"17","LessGovMoreFun","User",3.95825012779319
"18","vankhub","User",0
"19","WBLZSportsChica","User",3.23969933653507
"20","beachbored2","User",0
"21","Garrett_Love","User",2.14536341484269
"22","nmvht","User",0
"23","megannekola","User",0
"24","RelatableQuote","User",1.86643397569993
"25","bizlifephl","User",0
"26","jesus_ispeace","User",0
"27","djt_america","User",3.14084204353486
"28","93uvjx1m0u36lwj","User",0
"29","Terranc01238139","User",1
"30","bry_r4by4","User",0
"31","valdeezy_22","User",0
"32","paddypower","User",2.01865556855889
"33","theawkwardnada","User",0
"34","abd500","User",0
"35","AngryBlackLady","User",4.93805474035
"36","superunderoos","User",0
"37","Bigbobbalouie1","User",1
"38","juliemcgill11","User",0
"39","ItsCelineAScene","User",2.88009674597034
"40","trish061616","User",0
"41","funkbefeer","User",0
"42","sufiboy","User",0
"43","grescoe","User",1.69749018065486
"44","robertw08604367","User",0
"45","tpartynews","User",1
"46","col_connaughton","User",0
"47","govnmtgirl","User",0
"48","bigbobbalouie1","User",0
"49","milisajay1","User",0
"50","ThePatriot143","User",9.42948230517491
"51","obannons19691","User",0
"52","IvankaTrump","User",4.93748156481687
"53","anneedmunds70","User",0
"54","PDog1313","User",1
"55","yarraslava","User",0
"56","lennydaman","User",0
"57","lukioc","User",0
"58","jurisjedi","User",0
"59","punkrockbrina","User",0
"60","ShLueck","User",1.50683138513521
"61","eggretweet","User",0
"62","beastingi2t0_","User",0
"63","sk_chowdhary","User",0
"64","vjoachim","User",0
"65","Jacquiecharles","User",3.01179739054262
"66","roxie_marroquin","User",0
"67","trustnorminah","User",6.05132955416726
"68","chris_charmin","User",0
"69","iiLoveKARMA_","User",6.28354218158521
"70","empimentel","User",0
"71","Charles_HRH","User",7.01278486510932
"72","timrobott","User",0
"73","miss_nehemiah","User",0
"74","walkbikeplaces","User",0
"75","3volrebel","User",0
"76","RepThomasMassie","User",2.91552694879819
"77","voluntarian","User",0
"78","r34ld0n4ld7rump","User",0
"79","tommmyjefferson","User",0
"80","mommav_202","User",0
"81","_xoaalanis","User",0
"82","Bros4America","User",2.37326536083514
"83","michael_motisi","User",0
"84","koochiekinte","User",0
"85","almighty_dud","User",0
"86","benadams100","User",0
"87","imrem777","User",0
"88","mangodhaiti","User",0
"89","thedjgroucypn","User",0
"90","chingchingtruth","User",0
"91","pichelmanngroup","User",0
"92","sidneyvanharlin","User",0
"93","Aceworld21","User",0.820198704717637
"94","pisslorde","User",0
"95","tea0704","User",0
"96","parsonroy","User",0
"97","shrek9595","User",0
"98","mybluenm","User",0
"99","paulinrenaldi","User",0
"100","xsicular","User",0
"101","TroluKejri","User",2.73286795139986
"102","beclaimsmart","User",0
"103","justabitd","User",0
"104","johns382","User",0
"105","laylalaylaland","User",0
"106","havertyj","User",0
"107","teamtrumpaz","User",0
"108","sargentrealtytx","User",0
"109","nobrainstrump","User",0
"110","kookamuffin","User",1
"111","skyarrlt","User",0
"112","greenladynancy","User",0
"113","johnnyfr8trane","User",0
"114","TheGOPReport","User",4.13465257349683
"115","henson_rr","User",0
"116","KingofPopTweets","User",1
"117","kingofpoptweets","User",0
"118","joeyp28playz","User",0
"119","reverseio1","User",0
"120","DankMemes","User",4.83506616891702
"121","35leosa","User",0
"122","katy_danielle2k","User",0
"123","itscomedyVines","User",6.02601421960146
"124","xoppaw","User",0
"125","TheSciBabe","User",3.13093511529803
"126","crystal4trump","User",0
"127","dylan_hartranft","User",0
"128","kenslice","User",0
"129","lanikaiduck","User",0
"130","freesociety_42","User",0
"131","dayo1946","User",0
"132","TEN_GOP","User",6.49002150080708
"133","drgranma","User",0
"134","TomthunkitsMind","User",3.57363548217296
"135","we3rus","User",0
"136","aneshk13","User",0
"137","bbeaty32","User",0
"138","diamond_derpy","User",0
"139","CamKapHD","User",1
"140","ivsualgenisu","User",0
"141","lesliedye4","User",0
"142","rhusmc","User",0
"143","betsylareygolf","User",0
"144","Acosta","User",6.00447651632869
"145","dnjmerica","User",0
"146","steveames","User",0
"147","VerbalKinte","User",1.50683138513521
"148","mr8donrikoczae","User",0
"149","shelleybean01","User",0
"150","jcraskaus","User",0
"151","hiberniaforever","User",0
"152","HiberniaForever","User",1.86643397569993
"153","srjeronimus","User",0
"154","burris4real","User",0
"155","69sonar","User",2.02994902062635
"156","imwildaber","User",0
"157","kern258","User",0
"158","ioegreer","User",1
"159","3xsuperbowlchmp","User",0
"160","FDRLibrary","User",1
"161","heysannahosanna","User",0
"162","HeysannaHosanna","User",0.493168614864794
"163","zananeichan","User",0
"164","megmo_37","User",0
"165","facingeast52","User",0
"166","carp_crew","User",0
"167","trumpateer","User",0
"168","indyrealtorgirl","User",0
"169","sauje","User",0
"170","collingsaynso","User",0
"171","johng500","User",0
"172","vcapozzi2","User",0
"173","RandolpheLibre","User",5.57333957275992
"174","lupitachav7","User",0
"175","stolzenbergdoug","User",0
"176","ldyforce6","User",0
"177","thomasjankow","User",0
"178","theo1972","User",0
"179","kgvet","User",0
"180","eyes_of_justice","User",0
"181","tomthunkitsmind","User",0
"182","trump_regreter_","User",0
"183","KellyannePolIs","User",1.69749018065486
"184","sherinatl","User",0
"185","psychgallica","User",0
"186","mraaronmichael","User",0
"187","brainflexdada","User",0
"188","james57156651","User",1.50683138513521
"189","retweetilating","User",0
"190","monestimekepson","User",0
"191","jacquiecharles","User",0
"192","fanof2lman","User",0
"193","richardrsmithjr","User",0
"194","team_brophy","User",0
"195","thesemfstrippin","User",0
"196","65connect_GA","User",0.290637541975635
"197","alternatfacts","User",0
"198","clarisevail1","User",0
"199","jdwolfbc","User",0
"200","RichardAngwin","User",4.55924764748534
"201","kencraig999","User",0
"202","jim_rebuff","User",0
"203","kennedynation","User",0
"204","organicgay","User",0
"205","joanlee43","User",0
"206","EricTrump","User",1.62716714090409
"207","provoorem_bdier","User",0
"208","aalvxx","User",0
"209","thenerdleague","User",0
"210","ringer_01","User",0
"211","Bikers4Liberty","User",2.19997856569515
"212","imgalaxymodz","User",0
"213","AfroGumOfficiaI","User",1.86643397569993
"214","donladjtrump_","User",0
"215","correanadja","User",0
"216","fullingtonjason","User",0
"217","BatmanNewsCom","User",3.84521423415583
"218","consjames5","User",0
"219","FoxNews","User",6.55212304234551
"220","tinyhandspb","User",0
"221","castawaylanes","User",0
"222","roqchrisy","User",0
"223","platoskw","User",0
"224","baranovvanadii2","User",0
"225","tiago_m21","User",0
"226","marlenevaitysr","User",0
"227","sallygurl3","User",0
"228","tulsaantifa","User",0
"229","NewWaveArmy","User",4.36758580706276
"230","camilo_bx","User",0
"231","AltNatParkSer","User",8.21110973408757
"232","amkucheria","User",0
"233","otherjfk","User",0
"234","Gregorywmyers","User",1
"235","galtaf08","User",0
"236","ckb35","User",0
"237","The_iKat","User",1
"238","leahpetersen","User",0
"239","coco_rivers","User",0
"240","zaynsangelface","User",0
"241","BCAppelbaum","User",3.74653072167027
"242","maddamrazz","User",0
"243","kaystowe62","User",0
"244","reborn_prodigy","User",0
"245","mcrae_lynn","User",0
"246","paullhollowayj2","User",0
"247","michelleaukamp","User",1
"248","karenlmahon","User",0
"249","grahamaka","User",1.50683138513521
"250","femavis","User",0
"251","The_Jonathanian","User",5.59736911234076
"252","kendrakbr0oks","User",0
