"","User_name","Node_type","dominance"
"1","hashtagfarziwal","User",0
"2","rssurjewala","User",6.96011722939491
"3","rahulja13034944","User",0
"4","deeptiyvd","User",0
"5","ANI_news","User",2.4558911096435
"6","cpimbadli","User",0
"7","satishacharya","User",2.56595371061921
"8","ambazaarmag","User",0
"9","bhodia1","User",0
"10","gauravcsawant","User",7.77957291626781
"11","karunashankeroj","User",0
"12","Joydeep_911","User",5.43147452114881
"13","sumitbhati2002","User",1
"14","helpindia2016","User",0
"15","monishgavand","User",0
"16","Joydas","User",5.72259725374883
"17","yuvaraj_karki","User",0
"18","pmkejri","User",0
"19","Atheist_Krishna","User",6.03770711915335
"20","hkgupta16","User",0
"21","sona2905","User",1.69749018065486
"22","aazaadparinda","User",0
"23","Dipankar_cpiml","User",4.51643486429016
"24","darkdestinynme","User",0
"25","roshankar","User",3.4371339897718
"26","snoovemehrotra","User",0
"27","vishwaamitra","User",0
"28","pGurus1","User",4.84596709287782
"29","politicalcooper","User",0
"30","mdshuaib7","User",0
"31","Hemant_80","User",4.93276924962134
"32","bharatparivrtan","User",0
"33","ihavnthandle","User",0
"34","gajjarbharatc","User",0
"35","MahikaInfra","User",3.49552925831287
"36","rss_chaddi_wall","User",0
"37","mukeshrai881","User",0
"38","mrx565","User",0
"39","kapil_kausik","User",3.40225636673467
"40","imirzag","User",0
"41","pontifukex","User",0
"42","sehgal_indian","User",0
"43","AAPVind","User",2.49684012283159
"44","boscounchained","User",0
"45","meghnabasu2","User",0
"46","Gadgets360","User",3.23969933653507
"47","trollabhakt","User",0
"48","_avenu","User",2.33707615048002
"49","manni_1986","User",0
"50","DrGPradhan","User",5.36381679859394
"51","ghostbustor","User",0
"52","mayankjain100","User",1.2534156925676
"53","sradeep_d","User",0
"54","kvquote","User",0
"55","anandmiishra","User",0
"56","oshankar","User",2.14536341484269
"57","cinemaakikasam","User",0
"58","navsinfosec","User",0
"59","rn_bjp","User",0
"60","kanimozhi","User",5.83991743138452
"61","prateek1013","User",0
"62","shankaregowdam","User",0
"63","zailetblog","User",0
"64","draksbond","User",0
"65","kmvatreni1","User",0
"66","harshkkapoor","User",4.73762320660053
"67","pramodkr7227","User",0
"68","neelmani1980","User",0
"69","rohanmlw","User",1
"70","smsivanesan","User",0
