"","User_name","Node_type"
"1","hashtagfarziwal","User"
"2","rahulja13034944","User"
"3","deeptiyvd","User"
"4","cpimbadli","User"
"5","mail_today","User"
"6","ambazaarmag","User"
"7","bhodia1","User"
"8","karunashankeroj","User"
"9","sumitbhati2002","User"
"10","narendramodi","User"
"11","helpindia2016","User"
"12","monishgavand","User"
"13","yuvaraj_karki","User"
"14","pmkejri","User"
"15","hkgupta16","User"
"16","aazaadparinda","User"
"17","darkdestinynme","User"
"18","snoovemehrotra","User"
"19","vishwaamitra","User"
"20","politicalcooper","User"
"21","mdshuaib7","User"
"22","bharatparivrtan","User"
"23","ihavnthandle","User"
"24","gajjarbharatc","User"
"25","narendramodi
@Swamy39
The","User"
"26","rss_chaddi_wall","User"
"27","mukeshrai881","User"
"28","mrx565","User"
"29","imirzag","User"
"30","pontifukex","User"
"31","sehgal_indian","User"
"32","naam_pk","User"
"33","boscounchained","User"
"34","meghnabasu2","User"
"35","trollabhakt","User"
"36","manni_1986","User"
"37","minimathur","User"
"38","ghostbustor","User"
"39","sradeep_d","User"
"40","kvquote","User"
"41","anandmiishra","User"
"42","cinemaakikasam","User"
"43","navsinfosec","User"
"44","rn_bjp","User"
"45","prateek1013","User"
"46","shankaregowdam","User"
"47","zailetblog","User"
"48","draksbond","User"
"49","kmvatreni1","User"
"50","pramodkr7227","User"
"51","neelmani1980","User"
"52","sardesairajdeep","User"
"53","ravishndtv…","User"
"54","smsivanesan","User"
"55","PMOIndia","User"
"56","joyeee990","User"
"57","n2r3ndr2","User"
"58","aakuraj","User"
"59","mayankjain100","User"
"60","ceradevcera","User"
"61","MinhazMerchant","User"
"62","twety_swety","User"
"63","eschool_india","User"
"64","innovativehindu","User"
"65","pratyushmayank","User"
"66","monojsaha6","User"
"67","harbhajan_singh","User"
"68","nv_handle","User"
"69","upma23","User"
"70","UnS…","User"
"71","minoritygender","User"
"72","bsbaban","User"
"73","sventure007","User"
"74","us70707","User"
"75","unrealmohit","User"
"76","vtushar1960","User"
"77","hrajshri","User"
"78","allinoneindia","User"
"79","manickam_sm","User"
"80","sanalsudev","User"
"81","vaidyapriyam","User"
"82","imprakrut","User"
"83","everg3","User"
"84","myth_busterz","User"
"85","ganeshjoshibjp","User"
"86","timesofindia…","User"
"87","ikumarashok","User"
"88","ssmalani","User"
"89","cracklier","User"
"90","rohit_v","User"
"91","tussarjitu","User"
"92","praveentiwari6","User"
"93","ankit_gupta518","User"
"94","priyad_01","User"
"95","bhartiyalist","User"
"96","chandoksumeet","User"
"97","thumbahasivu","User"
"98","sanjeevkriocl","User"
"99","saubhagyavarma","User"
"100","salimpa71373837","User"
"101","khan96faiz","User"
"102","nitinpoddar","User"
"103","anakharavindran","User"
"104","jayaram84296692","User"
"105","ilapakurthi","User"
"106","gr8india","User"
"107","razikararvi","User"
"108","RanaAyyub","User"
"109","TruthOfGujarat","User"
"110","currency_crisis","User"
"111","shobhanpounikar","User"
"112","arshkhankhan1","User"
"113","jaiinashish","User"
"114","teenasingh882","User"
"115","mshivaram","User"
"116","rajdeeptwitting","User"
"117","fighterpirate7","User"
"118","amereshsingh","User"
"119","itsmeroshan2121","User"
"120","enzacdesccom191","User"
"121","sonunigam","User"
"122","sourabhprk","User"
"123","anandkamal","User"
"124","tauhid13","User"
"125","iammlk48","User"
"126","indianmonk1","User"
"127","dhriyamana","User"
"128","donmufflerman","User"
"129","shubhamamdhare","User"
"130","ssp79","User"
"131","harishchawla74","User"
"132","anilrai","User"
"133","_avenu","User"
"134","aashish81us","User"
"135","jodhpur_blue","User"
"136","ioclpunjab","User"
"137","indianoilcl","User"
"138","aawara_aatma","User"
"139","rathoreaja","User"
"140","DasShaktikanta","User"
"141","bhau_rokthok","User"
"142","aniljothomas","User"
"143","centreofleft","User"
"144","anuuragjain","User"
"145","pavanpavs254","User"
"146","belogicalplz","User"
"147","thenirajpandey","User"
"148","rranjan733","User"
"149","barundebbarun","User"
"150","guesthousesgoa","User"
"151","ajaygrover29","User"
"152","bhaanuwrites","User"
"153","joinaap","User"
"154","aapdelhincr","User"
"155","anil_tikar2","User"
"156","GabbbarSingh","User"
"157","sidin","User"
"158","sshettyy007","User"
"159","tinni_aphrodite","User"
"160","akash_8","User"
"161","nilimdutta","User"
"162","san_selene","User"
"163","laxmisagarnitw","User"
"164","pushpa_sahani","User"
"165","nagrulz","User"
"166","ncbn","User"
"167","cyberkingtm","User"
"168","pratimadesh","User"
"169","abhinavaawara","User"
"170","shweta_ohri","User"
"171","avdheshkumartsi","User"
"172","rkkotha","User"
"173","puneetgarg24","User"
"174","yogenderwrites","User"
"175","mi_puneri","User"
"176","hareshupadhyay1","User"
"177","roshankar","User"
"178","vihaansingh20","User"
"179","punitspeaks","User"
"180","amberrishi","User"
"181","zasambhu","User"
"182","zeenews","User"
