"","User_name","Node_type","dominance"
"1","kubej9","User",0
"2","annstrahm","User",0
"3","czarnylks","User",0
"4","AmyMek","User",7.71954406872796
"5","kennethecollins","User",0
"6","shanaynay_fuck","User",0
"7","yashar","User",9.35654819083467
"8","cherylshuman","User",0
"9","itsemeline","User",4.64609875119239
"10","sarahford26","User",0
"11","womensmarch","User",9.86026673501852
"12","krewellover","User",0
"13","WTHRcom","User",1.86643397569993
"14","msf0xxxy","User",0
"15","gilxner","User",0
"16","IMPL0RABLE","User",7.55994579910393
"17","baekhyunsnovia","User",0
"18","SNSDMusicFacts","User",4.68054872395805
"19","alwayzbossie","User",0
"20","Marc_Perrone","User",1
"21","lauradaniels_8","User",0
"22","Trumpnado2016","User",3.97323426313438
"23","timethatyoulove","User",0
"24","DaShanneStokes","User",7.14768468225788
"25","yazanico","User",0
"26","mallenmlo","User",0
"27","xtinalips","User",0
"28","xtinacherry","User",1
"29","rebeccalitagent","User",0
"30","novakspn_","User",0
"31","realGpad","User",1.86643397569993
"32","nordfold","User",0
"33","ryiterd","User",0
"34","aaronrfernandes","User",0
"35","peacetrain77","User",0
"36","gemssim","User",0
"37","dawnsmartdore","User",0
"38","aeromie","User",0
"39","thegeekychica","User",0
"40","potterynancy","User",0
"41","sarsalbo","User",1.50683138513521
"42","albaila","User",0
"43","brad_studio","User",0
"44","destinationheii","User",0
"45","exposes_racism","User",3.33975272112699
"46","plumpytrumpy","User",0
"47","HillaryClinton","User",5.13425970192035
"48","universeknowsme","User",0
"49","nerderymisfit","User",0
"50","rickbkylex","User",0
"51","vali2102","User",0
"52","bluegal","User",4.20965081550701
"53","swoope_trips13","User",0
"54","tessanetting","User",3.23969933653507
"55","quartzilini","User",0
"56","webelievebeliev","User",0
"57","dialupsucks","User",0
"58","the_newgent","User",0
"59","nooraz1z","User",0
"60","_SakinaHussain","User",1
"61","weare2012","User",0
"62","connchii","User",0
"63","achangedu","User",0
"64","fd0dr1cb3vfml6u","User",0
"65","alyjoye","User",1
"66","snw106","User",0
"67","wthrcom","User",0
"68","caliunited_2017","User",0
"69","3evgeyurlkhlpzw","User",0
"70","THR","User",1.57762265046662
"71","ashiestclaire","User",0
"72","tjmadaras","User",0
"73","heathertuomisto","User",0
"74","karbjorn","User",0
"75","shereecgrant","User",0
"76","alapresidence","User",0
"77","habberdashered","User",1
"78","lu_mjmckellar","User",0
"79","alijahsimon","User",0
"80","MadIndies","User",1
"81","ljpajac","User",0
"82","6nsinvt","User",1.86643397569993
"83","siftfactor","User",0
"84","landoffreebrave","User",0
"85","asamjulian","User",5.68612529128943
"86","madindies","User",0
"87","orgrannie","User",0
"88","angiepedley","User",0
"89","Barack_and_Joe","User",1.2534156925676
"90","3grsyajrekiyyus","User",0
"91","ENBrown","User",2.14536341484269
"92","vv4change","User",0
"93","milliecassese","User",0
"94","srauer20","User",0
"95","mqueensaucy","User",0
"96","thejoshliu","User",0
"97","2osinjtvxtizdmj","User",0
"98","TheConnorCohen","User",1
"99","jetbox20","User",0
"100","hungergames771","User",0
"101","1princesslw","User",0
"102","Kyivafaith","User",4.4260500299065
"103","rankpuller","User",0
"104","cmingis","User",0
"105","Rosie","User",5.9415580618612
"106","wandaransom","User",1.59463181485006
"107","dct7j0pzxvvjeeg","User",0
"108","MyDaughtersArmy","User",3.1673068819661
"109","curiouser100","User",0
"110","Lizbian21","User",1
"111","gottadance64","User",0
"112","nicolemarro713","User",0
"113","mistiwinders","User",0
"114","daminick124","User",0
"115","bowyerfan14","User",0
"116","estradanam","User",0
"117","sandras985","User",0
"118","bridgeinit","User",4.11492485662405
"119","ryanjuhola","User",0
"120","kathyrutter","User",0
"121","jessieeyzenga","User",0
"122","zanukah","User",0
"123","sphynxcatsrule","User",0
"124","mwrlady1","User",0
"125","bbmc9nejmtpegdh","User",0
"126","rednecknation","User",1
"127","aireesanc","User",0
"128","PopCrave","User",8.49951401533539
"129","pnwvoter","User",0
"130","fbwuoyx6bnrtzv7","User",0
"131","mj4kc","User",0
"132","BlueMom16","User",1
"133","hnelson4","User",0
"134","rldcarync","User",0
"135","mrh12834","User",0
"136","dave_fouchey","User",0
"137","tctlblog","User",0
"138","Nicolestallone","User",1.67533922835011
"139","chryssakoulis","User",0
"140","womensmarchsyd","User",2.24655751455134
"141","jimmyjcheer","User",0
"142","bxcoachmay","User",0
"143","deecamry","User",0
"144","rossadol","User",0.207180421585308
