"","cl_num","tweet","sentiment","dist","freq"
"94",1,"#Demonetization Conference at #JindalGlobalBusinessSchool #JGBS discusses societal and economic impacthttps:tcoEaAX6fJLvh",0,42.1083910383191,1
"95",1,"#Demonetization Conference at #JindalGlobalBusinessSchool #JGBS discusses societal and economic impact¸æçì†º https:tcoHWk4QIVB2k",0,42.1083910383191,1
"114",1,"Impact of #Demonetization on payments at supermarkets and hypermarkets owned by Future Retail https:tcoetjYaILgmM",0,43.5277660557967,1
"142",1,"RT @KaranArora: Impact of #Demonetization on payments at supermarkets and hypermarkets owned by Future Retail https:tcoetjYaILgmM",0,43.5277660557967,1
"217",1,"We suspect that the positive economic impact of demonetization is going to be far more overwhelming than the political or electoral impact!",-1,44.7254230321424,1
"93",1,"Demonetization Conference at Jindal Global Business School JGBS discusses societal and economic impact¸æçì†º https:tco2ApuSCemgr",0,45.0273133697063,1
"102",1,"#Demonetizations Impact On the #India #Retail sector ReTales by Pankaj Renjhen | ET Retail https:tcoaVcYTIhdtH",0,47.0918523263314,1
"141",1,"RT @JLLIndia: #Demonetizations Impact On the #India #Retail sector ReTales by Pankaj Renjhen | ET Retail https:tcoaVcYTIhdtH",0,47.0918523263314,2
"125",1,"@NITIAayog vicechairman hopes for positive #GDP growth in near future after #demonetization adds speed bump to im¸æçì†º https:tcoNjZIkPb4BF",0,47.7024714588967,1
"87",1,"5Forty3: We suspect that the positive economic impact of demonetization is going to be far more overwhelming than the political or electoraÖ",-1,48.1813524718957,1
"137",1,"RT @godavar: Strange that while everyone from the PM down is touting #demonetization and #digitization my own digital experience is going¸æçì†º",-1,48.3823627444022,2
"129",1,"RT @616476fbde873af: My experience during this #demonetization edit #WalnutApp #MobiKwikHaiNa https:tcov7JRsyOiAg",0,48.7823622571447,1
"120",1,"#news #summary: #impact of #demonetization: improving #india¸æå£§ºs #services #pmi https:tcoedQtIa36BK",1,49.3317149516603,1
"216",1,"The shortterm impact of #demonetization on stock broking &amp; insurance is Negative but positive in the long term¸æçì†º https:tcoy0NfGl2WjJ",0,49.3576820258598,1
"157",1,"Strange that while everyone from the PM down is touting #demonetization and #digitization my own digital experience is going off the rails!",-1,49.6286516979652,1
"128",1,"RT @5Forty3: We suspect that the positive economic impact of demonetization is going to be far more overwhelming than the political or elecÖ",-1,50.5041958603372,97
"118",1,"In #India Demonetization leads to more digital #payments muses #SanFrancisco #Fed @sffedhttps:tco7lKuvVscA0",1,50.7080428439983,1
"132",1,"RT @cubishopcom: Future #Retail gains steam as Kishore Biyani rides #demonetization https:tco4iMrhOris8 #onlinebusiness #shopping https¸æçì†º",1,52.4826122377441,1
"146",1,"RT @sffed: #Demonetization is catalyzing digital #payments growth in #India https:tcofYBDNtv8MO #SFFedAsiaProgram https:tco0gbkajY¸æçì†º",0,53.2896231345801,3
"147",1,"RT @sffed: #Demonetization is catalyzing digital payments growth in #India https:tcozCfH075uuP #SFFedAsiaProgram https:tcor7se1fklM5",0,53.2896231345801,1
"103",1,"Demonetization to adversely affect Keralas economic growth: Thomas Isaac#Demonetization #Kerala https:tco0j1HffjR0q",0,53.3603397907622,1
"104",1,"Demonetization to adversely affect Keralas economic growth: Thomas Isaac#Demonetization #Kerala https:tcoNk72cr8Iec",0,53.3603397907622,1
"115",1,"#Impact of #Demonetization on various #AssetClasses in #India https:tcotuSLvddVPT",0,53.4994659020734,1
"90",1,"A positive story for #demonetization https:tcodm4Jm6oaLE",1,54.6324695170852,1
"99",1,"#Demonetization lead to a swift deployment of digital payments technology &amp; will have positive impact :@WorldBank https:tcoGbb3zV1N1V",3,54.9791381325463,1
"100",1,"#Demonetization lead to a swift deployment of digital payments technology &amp; will have positive impact :@WorldBank https:tcoWFTJtcXjh1",3,54.9791381325463,1
"134",1,"RT @Dmonetisation: #Demonetization lead to a swift deployment of digital payments technology &amp; will have positive impact :@WorldBank https¸æçì†º",3,54.9791381325463,1
"148",1,"RT @Shr3yanshS: Why #demonetization was needed and its overall impact https:tcorjQU4LQ2UIFrom some1 who knows what he is talking abo¸æçì†º",0,55.0725351014368,3
"149",1,"RT @siri_notsiri: Spoke about #demonetization in #India and its impact on #women with @MarcoWerman @pritheworld https:tcoEYJfem34nO",0,55.1645464272561,1
"156",1,"Spoke about #demonetization in #India and its impact on #women with @MarcoWerman @pritheworld https:tcoEYJfem34nO",0,55.1645464272561,1
"98",1,"#Demonetization is catalyzing digital #payments growth in #India https:tcofYBDNtv8MO #SFFedAsiaProgram https:tco0gbkajYeGG",0,55.3814751043961,1
"140",1,"RT @JLLIndia: #Demonetization¸æå£§ºs Impact On #Indian #Retailhttps:tconDxQ8QSVvk https:tcoTEMrQtcsEz",0,56.0835573688346,1
"145",1,"RT @SecretaryMEITY: #Demonetization lead to a swift deployment of digital payments technology &amp; will have positive impact :@WorldBank http¸æçì†º",3,56.7859953176381,41
"97",1,"#Demonetization has already started acting as a catalyst for Digital revolution and with it the digital https:tcoey7EbTC7uH",0,56.8461945393146,1
"121",1,"#news #summary: #world #bank backs #demonetization says #note #ban will have positive #impact in long #te https:tcodwsgEZpDCo",1,58.581613494032,1
"122",1,"#news #summary: #world #bank backs #demonetization says #note #ban will have positive #impact in long #te https:tcoN2VTIPonnS",1,58.581613494032,1
"123",1,"#news #summary: #world #bank backs #demonetization says #note #ban will have positive #impact in long #te https:tcoT6LjMegfWI",1,58.581613494032,1
"124",1,"#news #summary: #world #bank backs #demonetization says #note #ban will have positive #impact in long #te https:tcoWJM4LFANaK",1,58.581613494032,1
"91",1,"@Atulk66 Economic Analysis of demonetization: https:tcoJDAch3FN71",0,58.9692316247501,1
"135",1,"RT @dravirmani: @Atulk66 Economic Analysis of demonetization: https:tcoJDAch3FN71",0,58.9692316247501,1
"143",1,"RT @moneycontrolcom: Note ban will have positive impact in long term: @WorldBank https:tcoFSSAXAsnNl #demonetization https:tcoqRUAS¸æçì†º",1,59.2586370788229,4
"88",1,"Abhishek Lodha MD #LodhaGroup shares his views on the impact of #demonetization on #realestate via @CNBCTV18News https:tco525r1e6tEC",0,60.7473011043611,1
"144",1,"RT @rsprasad: Digital Payments initiative after demonetization designed to reduce usage of cash and strengthen the footprint of Digital Ec¸æçì†º",0,61.5905776601232,2
"158",1,"@suryanavin MD ItzCash was live on ET talking about the impact of #Demonetization towards digitization in Indiahttps:tcoB0rYYBkL2J",0,62.2149650355487,1
"126",1,"Note ban will have positive impact in long term: @WorldBank https:tcoFSSAXAsnNl #demonetization https:tcoqRUASfAIFD",1,62.9473841154962,1
"159",1,"The latest The Demonetization Daily! https:tcoD82oM5bnJM Thanks to @datamktgres @VincentDjen #india #technology",0,64.3556546660024,1
"86",1,"23 folds increase in digital transaction after demonetization! @rsprasad @narendramodi Thanks! https:tcoZv3IXyLhCi via @postcard_news",0,64.4560193723651,1
"119",1,"Lower interest rate will ultimately lead to more buyers because of #LowerEMI #HappyHomes #Demonetization https:tcoA6LmfiVsXB",1,64.5579090391689,1
"153",1,"RT @Tata_ValueHomes: Lower interest rate will ultimately lead to more buyers because of #LowerEMI #HappyHomes #Demonetization https:tco¸æçì†º",1,64.5579090391689,1
"139",1,"RT @ItzCash: @suryanavin MD ItzCash was live on ET talking about the impact of #Demonetization towards digitization in Indiahttps:tc¸æçì†º",0,64.5657574940968,5
"92",1,"A very positive development! Better than #demonetization https:tcobKEKe2djCV",2,64.6005623470731,1
"133",1,"RT Dmonetisation: #Demonetization lead to a swift deployment of digital payments technology &amp; will have positive i¸æçì†º https:tcoh4o9704NtD",3,66.3469782032435,1
"108",1,"How will #demonetization Impact India¸æå£§ºs #GDPKnow more: https:tcoofvlikg9jy#currency https:tcodDD4tFaFhM",0,66.784095654637,1
"101",1,"#Demonetization Positive Effect: Cigarette Sales Slashed To Almost Half After Demonetization:Report @deepparihar @Tabassumzia @AshSharma1102",1,66.9708847547966,1
"138",1,"RT @HP_Journo: #Demonetization Positive Effect: Cigarette Sales Slashed To Almost Half After Demonetization:Report @deepparihar @TabassumziÖ",1,66.9708847547966,1
"96",1,"#Demonetization Fallout ¸æç≥§º Future Cars Will Be Fitted With Digital Identity Tags https:tcopfETKd7jqD #autonews",-1,67.2475389303685,1
"117",1,"India¸æå£§ºs digital #payments to grow threefold in 2017: #MeitY https:tcoQSojIUfpta #PoS #demonetization #BHIM #IAMAI",0,67.5747112633026,1
"161",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tco2j67zjVsHY",0,68.228960999669,1
"162",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tco3GDEbWG3TB",0,68.228960999669,1
"163",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tco3wPM5P7DJs",0,68.228960999669,1
"164",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tco6hYAf5yYdx",0,68.228960999669,1
"165",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tco7UyaKsBdQ3",0,68.228960999669,1
"166",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tco9adbr7D5AG",0,68.228960999669,1
"167",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcoAiMl9SJWfA",0,68.228960999669,1
"168",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcoaOC1ICLHJz",0,68.228960999669,1
"169",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcoBG4rBaFYGW",0,68.228960999669,1
"170",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcobGL4tFM0sc",0,68.228960999669,1
"171",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcoCgNm0CmCTd",0,68.228960999669,1
"172",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcoCjZaz4tMKS",0,68.228960999669,1
"173",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcoclKRd6TgXq",0,68.228960999669,1
"174",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcocudzc72QU5",0,68.228960999669,1
"175",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcoCZGdcRjpZJ",0,68.228960999669,1
"176",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcoDD2WniIPJ6",0,68.228960999669,1
"177",1,"The Overall Impact of Demonetization on the Education System in India an article from Motilal Oswal Services https: https:tcoDn1BUEzNBi",0,68.228960999669,1
