"ID;""tweet"";""username"""
"1;""RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM Its clearly fishy and requires full disclosure &amp"";""HASHTAGFARZIWAL"""
"2;""RT @Hemant_80: Did you vote on #Demonetization on Modi survey app"";""PRAMODKAUSHIK9"""
"3;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""rahulja13034944"""
"4;""RT @ANI_news: Gurugram Haryana: Post office employees provide cash exchange to patients in hospitals #demonetization https:tcouGMxUP9¸æçì†º"";""deeptiyvd"""
"5;""RT @satishacharya: Reddy Wedding! @mail_today cartoon #demonetization #ReddyWedding https:tcou7gLNrq31F"";""CPIMBadli"""
"6;""@DerekScissors1: India¸æå£§ºs #demonetization: #Blackmoney a symptom not the disease https:tcoHSl6Ihj0Qe via @ambazaarmag"";""ambazaarmag"""
"7;""RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp"";""bhodia1"""
"8;""RT @Joydeep_911: Calling all Nationalists to joinWalk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas¸æçì†º"";""KARUNASHANKEROJ"""
"9;""RT @sumitbhati2002: Many opposition leaders are with @narendramodi on the #Demonetization And respect their decisionbut support oppositio¸æçì†º"";""sumitbhati2002"""
"10;""National reform now destroyed even the essence of sagan Such instances urge giving #demonetization a second though¸æçì†º https:tcoeyySIREiUq"";""HelpIndia2016"""
"11;""Many opposition leaders are with @narendramodi on the #Demonetization And respect their decisionbut support opposition just bcoz of party"";""sumitbhati2002"""
"12;""RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https:tcopYgK8Rmg7r"";""MonishGavand"""
"13;""@Jaggesh2 Bharat band on 28<ed><U00A0><U00BD><ed><U00B8><U0082>Those who are protesting #demonetization are all different party leaders"";""yuvaraj_karki"""
"14;""RT @Atheist_Krishna: The effect of #Demonetization !! https:tcoA8of7zh2f5"";""PMKejri"""
"15;""RT @sona2905: When I explained #Demonetization to myself and tried to put it down in my words which are not laced with any heavy technicalÖ"";""hkgupta16"""
"16;""RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hardsÖ"";""aazaadparinda"""
"17;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""darkdestinynme"""
"18;""RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization https:tco9NheK63TPg"";""snoovemehrotra"""
"19;""RT @pGurus1: #Demonetization The cooperative banking sector in Kerala is as good as a tax haven Is Kerala a Black Money HQ https:tco¸æçì†º"";""Vishwaamitra"""
"20;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""PoliticalCooper"""
"21;""RT @Hemant_80: Did you vote on #Demonetization on Modi survey app"";""MdShuaib7"""
"22;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""BharatParivrtan"""
"23;""RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization https:tco9NheK63TPg"";""ihavnthandle"""
"24;""RT @MahikaInfra: @narendramodi@Swamy39The success of #Demonetization will depend on how swiftly govt replenish the currencyPls avoid Ba¸æçì†º"";""GajjarBharatc"""
"25;""RT @Hemant_80: Did you vote on #Demonetization on Modi survey app"";""Rss_chaddi_waLL"""
"26;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""mukeshrai881"""
"27;""RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is hurt by #Demonetization as the same has rendered USELESS <ed><U00A0><U00BD><ed><U00B1><U0089> acquired funds No wo¸æçì†º"";""mrx565"""
"28;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""iMirzaG"""
"29;""RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is hurt by #Demonetization as the same has rendered USELESS <ed><U00A0><U00BD><ed><U00B1><U0089> acquired funds No wo¸æçì†º"";""PontiFukEx"""
"30;""RT @AAPVind: #Demonetization Is Disaster! @naam_pk"";""sehgal_indian"""
"31;""RT @Hemant_80: Did you vote on #Demonetization on Modi survey app"";""BoscoUnchained"""
"32;""RT @Gadgets360: After the #demonetization searches about #NarendraModis app are trending on app stores https:tcoZetKRqqClX"";""meghnabasu2"""
"33;""RT @_avenu: Teacher: is there anybody who is absent todayNo response Teacher says 100% attendance #Demonetization #App #survey@DonMu¸æçì†º"";""trollabhakt"""
"34;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""manni_1986"""
"35;""RT @mayankjain100: #demonetization is Communal and Black Money is Secular"";""GHOSTBUSTOR"""
"36;""LOL #Demonetization Effect https:tcoaA5lfy9ALG"";""sradeep_d"""
"37;""RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is hurt by #Demonetization as the same has rendered USELESS <ed><U00A0><U00BD><ed><U00B1><U0089> acquired funds No wo¸æçì†º"";""kvQuote"""
"38;""RT roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o¸æçì†º https:tcoTPYJgXFBY8"";""AnandMiishra"""
"39;""RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization https:tco9NheK63TPg"";""CineMaakiKasam"""
"40;""@arunjaitley @narendramodi Lrnd frm a frndBanks r asking employees to comeback 2sales &amp"";""navsinfosec"""
"41;""RT @kanimozhi: Ts is exactly what Pappu &amp"";""RN_BJP"""
"42;""RT @roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poortradehttps:t¸æçì†º"";""mukeshrai881"""
"43;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""prateek1013"""
"44;""@dineshgrao you have 125 k followers yet you are not getting enough likes for your tweets against #demonetization You need to introspect"";""ShankareGowdaM"""
"45;""#DeMonetization Effect : Visa Master Card Amex all Accepted : https:tcoozDwcPKjaI"";""zailetblog"""
"46;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""draksbond"""
"47;""RT @harshkkapoor: #DeMonetization survey results after 24 hours5Lacs opinionsAmazing response&amp"";""kmvatreni1"""
"48;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""PramodKr7227"""
"49;""RT @rohanmlw: #demonetization eye opener video bt i doubt as few jurnos dont want2 hear ve of @narendramodi @sardesairajdeep @ravishndtv¸æçì†º"";""neelmani1980"""
"50;""RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization 5 lakh response in 24 hrs 90% supports note ban #MeraDeshBadalRaha¸æçì†º"";""smsivanesan"""
"51;""RT @nmleo1: Is #ModiSarkar s #achedin campaign on #demonetization a #goebbelsian #masterstroke that turns blind eye to #GroundZero shocks¸æçì†º"";""JOYEEE990"""
"52;""RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization 5 lakh response in 24 hrs 90% supports note ban #MeraDeshBadalRaha¸æçì†º"";""n2r3ndr2"""
"53;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""aakuraj"""
"54;""#demonetization is Communal and Black Money is Secular"";""mayankjain100"""
"55;""RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is hurt by #Demonetization as the same has rendered USELESS <ed><U00A0><U00BD><ed><U00B1><U0089> acquired funds No wo¸æçì†º"";""ceradevcera"""
"56;""RT @nmleo1: @MinhazMerchant #demonetization hardly affects tax dodgers &amp"";""JOYEEE990"""
"57;""RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization https:tco9NheK63TPg"";""twety_swety"""
"58;""Section 144 issued by District Magistrate #Indore prohibiting #socialmedia posts on #demonetization Why#citizen https:tco5Tn7aNBTsi"";""ESchool_India"""
"59;""RT @pGurus1: CPIM opposes Coop Banks in West Bengal but supports them in Kerala! Y Pawar Uturned on #Demonetization https:tcoThzaV7r¸æçì†º"";""InnovativeHindu"""
"60;""RT roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o¸æçì†º https:tcovCWWjxu0wb"";""pratyushmayank"""
"61;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""monojsaha6"""
"62;""RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp"";""NV_Handle"""
"63;""RT @pGurus1: #Demonetization The time has come to put MUDRA into action writes Prof R Vaidyanathan https:tcoP6HkkDVa3b @upma23 @UnS¸æçì†º"";""InnovativeHindu"""
"64;""RT @pGurus1: #Demonetization move of Modi"";""InnovativeHindu"""
"65;""RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https:tcopYgK8Rmg7r"";""Minoritygender"""
"66;""RT @ModiBharosa: Huge support for PM @narendramodi ¸æå£§ºs #demonetization Move Across the Nation 8086% people back demonetization: Cvoter su¸æçì†º"";""BsBaban"""
"67;""Effects of sluggish economy negative IIP #Demonetization ! Does the Great Leader even bother except continued dra¸æçì†º https:tcoDuvbMtEi1Y"";""sventure007"""
"68;""RT @kanimozhi: Ts is exactly what Pappu &amp"";""US70707"""
"69;""RT roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o¸æçì†º https:tco5J6jZXbY81"";""UnRealMohit"""
"70;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""vtushar1960"""
"71;""RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization He should have taken some Congress leader lik¸æçì†º"";""HRajshri"""
"72;""#Demonetization and the Indian Economy An Interview by Doordarshan with Sri SGurumurthy https:tcoLdeBCADAeR"";""AllinoneIndia"""
"73;""RT @Gadgets360: After the #demonetization searches about #NarendraModis app are trending on app stores https:tcoZetKRqqClX"";""manickam_sm"""
"74;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""SanalSudev"""
"75;""RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization 5 lakh response in 24 hrs 90% supports note ban #MeraDeshBadalRaha¸æçì†º"";""VaidyaPriyam"""
"76;""RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modis #DeMonetization better than monumental¸æçì†º"";""imprakrut"""
"77;""RT @Currency_crisis: What #demonetization indicates is loss of freedomBesides lawsconstitutioncourtcops 2 govern peoplegovt is using m¸æçì†º"";""everG3"""
"78;""RT @Hemant_80: Did you vote on #Demonetization on Modi survey app"";""Myth_Busterz"""
"79;""Ppl of India extending overwhelming supprt to @narendramodi Jis crusade agnst black moneySurvey @timesofindia¸æçì†º https:tcoAxqd8FOwpK"";""ganeshjoshibjp"""
"80;""RT @roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poortradehttps:t¸æçì†º"";""ikumarashok"""
"81;""RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp"";""ssmalani"""
"82;""RT @harshkkapoor: #DeMonetization survey results after 24 hours5Lacs opinionsAmazing response&amp"";""cracklier"""
"83;""People from rural areas are coming to Delhi just to withdraw cash They have given up on govt logistics @ravishndtv #Demonetization"";""Rohit_V"""
"84;""RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM Its clearly fishy and requires full disclosure &amp"";""TussarJitu"""
"85;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""praveentiwari6"""
"86;""RT @roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poortradehttps:t¸æçì†º"";""ankit_gupta518"""
"87;""RT roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o¸æçì†º https:tcovv9qtRqqSI"";""Priyad_01"""
"88;""RT @Joydeep_911: Calling all Nationalists to joinWalk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas¸æçì†º"";""Bhartiyalist"""
"89;""RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modis #DeMonetization better than monumental¸æçì†º"";""ChandokSumeet"""
"90;""RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization https:tco9NheK63TPg"";""ThumbaHasivu"""
"91;""#demonetization 90 % of population is accepting it as country building measure why these so called politicians opp¸æçì†º https:tcof91j6tZjZ2"";""sanjeevkriocl"""
