,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"RT @9gagtv: President Donald Trump Accidentally Quotes Bane In His #Inauguration Speech
https://t.co/PlcxZgmz4Z https://t.co/BXlQ8b63eo",FALSE,0,NA,2017-02-08 04:54:32,FALSE,NA,829191662333211000,NA,Twitter Web Client,LbmFKUd5EIPCYfc,531,TRUE,FALSE,NA,NA
2,RT @SpcStevens: This makes it much easier. #Inauguration https://t.co/KqLUwx2dgt,FALSE,0,NA,2017-02-08 04:53:51,FALSE,NA,829191489750258000,NA,Twitter Web Client,edmPt9OQ0ND7ABq,1,TRUE,FALSE,NA,NA
3,@Claire_Phipps @nwg83 so what youre saying is more people watched @SenWarren than attended @realDonaldTrump #Inauguration #period,FALSE,6,Claire_Phipps,2017-02-08 04:53:00,FALSE,829185433531740000,829191277921104000,168828976,Twitter for Android,PBnRay,1,FALSE,FALSE,NA,NA
4,"RT @JahovasWitniss: Wait... what!?

#Inauguration https://t.co/zs8rx1MjMc",FALSE,0,NA,2017-02-08 04:52:31,FALSE,NA,829191155644563000,NA,Twitter for iPhone,HonestAnes,89784,TRUE,FALSE,NA,NA
5,RT @3lectric5heep: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/qDU1oBXMOj,FALSE,0,NA,2017-02-08 04:52:20,FALSE,NA,829191107707822000,NA,Twitter for Android,elway1771,405,TRUE,FALSE,NA,NA
6,"RT @DanJGross: Crowd count is in:
Trump 2017: 250,000
Obama 2013: 1,000,000
Obama 2009: 1,800,000
#Inauguration",FALSE,0,NA,2017-02-08 04:51:00,FALSE,NA,829190772398363000,NA,Twitter Web Client,0QX2fL8ETixpe1v,19909,TRUE,FALSE,NA,NA
7,"RT @FunnyVines: The 45th President of The United States of America #Inauguration
https://t.co/D1EXTMoSL5",FALSE,0,NA,2017-02-08 04:49:43,FALSE,NA,829190451521528000,NA,Twitter Web Client,cmHWA9yG1cw4eFT,7132,TRUE,FALSE,NA,NA
8,RT @JCRaskaus: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC - GotNews https://t.co/jNgnrFjQhz…,FALSE,0,NA,2017-02-08 04:49:09,FALSE,NA,829190305949835000,NA,Twitter for Android,Muzzo11Sb,9,TRUE,FALSE,NA,NA
9,RT @LessGovMoreFun: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration... https://t.co/ffTFVZZn2s by #4djt2016…,FALSE,0,NA,2017-02-08 04:47:35,FALSE,NA,829189912423498000,NA,Twitter for Windows,Arch_Angel9999,28,TRUE,FALSE,NA,NA
10,RT @WBLZSportsChica: 1 million #Patriots fans at parade still more then @POTUS #Inauguration lol,FALSE,0,NA,2017-02-08 04:47:30,FALSE,NA,829189892349493000,NA,Twitter Web Client,vankHub,11,TRUE,FALSE,NA,NA
11,RT @Garrett_Love: Congratulations to President Donald Trump &amp; VP Mike Pence! Remember to keep our leaders in your prayers. #Inauguration #p…,FALSE,0,NA,2017-02-08 04:46:17,FALSE,NA,829189587071287000,NA,Twitter for Android,Beachbored2,209,TRUE,FALSE,NA,NA
12,Inauguration Of The President Mr. JOVENEL MOISE jovenelmoise... #mupanah #haiti #inauguration… https://t.co/J7WxAhcb3G,FALSE,0,NA,2017-02-08 04:45:33,FALSE,NA,829189402316386000,NA,Instagram,NMVHT,0,FALSE,FALSE,NA,NA
13,"RT @RelatableQuote: I feel you, Michelle. #inauguration https://t.co/FcHyW5bJSx",FALSE,0,NA,2017-02-08 04:42:21,FALSE,NA,829188595458179000,NA,Twitter for Android,MeganNekola,3549,TRUE,FALSE,NA,NA
14,Have to attend/read #Inauguration program before know who's in #WH <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> @willbarrett_1 @frenchfortrump @NancyPelosi @POTUS @realDonaldTrump,FALSE,0,willbarrett_1,2017-02-08 04:41:08,FALSE,829181086437634000,829188287671697000,2208095516,Twitter for iPhone,BizLifePHL,0,FALSE,FALSE,NA,NA
15,RT @djt_america: @LindaSuhler Vets participate in #Inauguration Parade. @POTUS promises they will never be forgotten again <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#amvets #dav h…,FALSE,0,NA,2017-02-08 04:38:56,FALSE,NA,829187737144136000,NA,Twitter Web Client,Jesus_isPeace,127,TRUE,FALSE,NA,NA
16,"RT @Terranc01238139: we fucked 
 #Inauguration",FALSE,0,NA,2017-02-08 04:31:33,FALSE,NA,829185879465931000,NA,Twitter Web Client,93UvJX1M0u36LWj,3,TRUE,FALSE,NA,NA
17,RT @WBLZSportsChica: 1 million #Patriots fans at parade still more then @POTUS #Inauguration lol,FALSE,0,NA,2017-02-08 04:29:38,FALSE,NA,829185396458152000,NA,Twitter Web Client,Bry_r4By4,11,TRUE,FALSE,NA,NA
18,RT @paddypower: When a joke goes too far and you have to actually follow through with it: #Inauguration https://t.co/rtIonwrIvL,FALSE,0,NA,2017-02-08 04:26:33,FALSE,NA,829184619262145000,NA,Twitter for iPhone,Valdeezy_22,930,TRUE,FALSE,NA,NA
19,"RT @JahovasWitniss: Wait... what!?

#Inauguration https://t.co/zs8rx1MjMc",FALSE,0,NA,2017-02-08 04:22:21,FALSE,NA,829183563597828000,NA,Twitter Web Client,theawkwardnada,89784,TRUE,FALSE,NA,NA
20,"RT @AngryBlackLady: HRC: Can you believe this shit?
MO: Girl, I know. 

#Inauguration https://t.co/aqOZWmjHoO",FALSE,0,NA,2017-02-08 04:19:59,FALSE,NA,829182969013293000,NA,Twitter for Android,abd500,2074,TRUE,FALSE,NA,NA
21,RT @Bigbobbalouie1: @Stevenwhirsch99 If only this were at UCBerkley and the #inauguration.,FALSE,0,NA,2017-02-08 04:19:31,FALSE,NA,829182849043530000,NA,Twitter for iPhone,SuperUnderoos,1,TRUE,FALSE,NA,NA
22,"RT @ItsCelineAScene: Protester screams as Donald Trump becomes 45th President.
#Inauguration #CelineAScene @realDonaldTrump #MAGA #AmericaF…",FALSE,0,NA,2017-02-08 04:16:47,FALSE,NA,829182161458692000,NA,Twitter for Android,JulieMcGill11,88,TRUE,FALSE,NA,NA
23,RT @JCRaskaus: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC - GotNews https://t.co/jNgnrFjQhz…,FALSE,0,NA,2017-02-08 04:11:11,FALSE,NA,829180753644810000,NA,Twitter for iPhone,Trish061616,9,TRUE,FALSE,NA,NA
24,RT @WBLZSportsChica: 1 million #Patriots fans at parade still more then @POTUS #Inauguration lol,FALSE,0,NA,2017-02-08 04:07:44,FALSE,NA,829179883137880000,NA,Twitter Web Client,funkbefeer,11,TRUE,FALSE,NA,NA
25,"RT @grescoe: If you wondered what #Trump will mean for future of transport...
...one image via @bicyclelobby
#Inauguration https://t.co/OzJ…",FALSE,0,NA,2017-02-08 04:04:05,FALSE,NA,829178964711182000,NA,Twitter for iPhone,sufiboy,85,TRUE,FALSE,NA,NA
