"","Cluster_no","Tweet_ID","Created","User_name","Retweet_count","Dominance","Original_User"
"8831",8,2878,"23-11-2016 09:03","fenkubhai",3,0,"shekhar_ojha"
"8832",8,2881,"23-11-2016 09:03","Anvay_Sharma",3,NA,"shekhar_ojha"
"8833",8,2883,"23-11-2016 09:03","DShekharOjhaFC",3,NA,"shekhar_ojha"
"8834",8,2887,"23-11-2016 09:02","shekhar_ojha",3,1.86643397569993,"shekhar_ojha"
"8835",8,4580,"23-11-2016 04:53","panditsushil203",0,0,"panditsushil203"
"8836",8,4706,"23-11-2016 04:22","DpkB",0,NA,"DpkB"
"8837",8,4819,"23-11-2016 03:37","iammastanvali",2,0,"kmfameen"
"8838",8,5233,"22-11-2016 23:28","jab9777",2,0,"kmfameen"
"8839",8,5469,"22-11-2016 19:11","kmfameen",2,0.680733985146256,"kmfameen"
"8840",8,7548,"22-11-2016 12:14","CIOL_NEWS",0,NA,"CIOL_NEWS"
"8841",8,7950,"22-11-2016 11:04","indieanarch",2,0,"askdheeraj"
"8842",8,7951,"22-11-2016 11:04","mega_murali",1,0,"sistlamurali"
"8843",8,8122,"21-04-2017 12:41","thelanarchist",0,0,"thelanarchist"
"8844",8,8123,"21-04-2017 12:41","thelanarchist",0,0,"thelanarchist"
"8845",8,8202,"21-04-2017 08:49","RussianHusky47",0,NA,"RussianHusky47"
"8846",8,8267,"21-04-2017 06:14","sarfrazkhan493",0,0,"sarfrazkhan493"
"8847",8,8386,"21-04-2017 01:31","Republican4USA",0,NA,"Republican4USA"
"8848",8,8428,"20-04-2017 21:13","CrosstimbersOky",0,NA,"CrosstimbersOky"
"8849",8,8477,"20-04-2017 18:19","KnowledgeEmpire",0,NA,"KnowledgeEmpire"
"8850",8,8486,"20-04-2017 18:03","newsallergies",0,0,"newsallergies"
"8851",8,8490,"20-04-2017 17:56","CoachRedPill",0,NA,"CoachRedPill"
"8852",8,8503,"20-04-2017 17:43","feyristan",0,0,"feyristan"
"8853",8,8529,"20-04-2017 17:30","KinetoscopeVR",0,NA,"KinetoscopeVR"
"8854",8,8696,"20-04-2017 15:36","nazishgulzar86",0,0,"nazishgulzar86"
"8855",8,8776,"20-04-2017 11:07","bobeddings",35,0,"LionelMedia"
"8856",8,8782,"20-04-2017 10:59","BrutalJones",0,NA,"BrutalJones"
"8857",8,8846,"20-04-2017 06:44","Lachlan_Argyle",0,NA,"Lachlan_Argyle"
