Flow_from_user,Flow_to_user,flow
,cohelporg,-1
,rwdrg,-1
___baddog,FrustIndian,1
___jcs,YesIamSaffron,1
__yamaniyaa,sumongantait,1
_10compassion,sajid_Yousuf_,1
_ajaytiwari79,URautelaForever,1
_ajeett,Dipankar_cpiml,1
_ajeett,mkatju,1
_antithesis_1,vikrantkumar,1
_anubhav_singh_,URautelaForever,1
_archdornan_,Timcast,1
_ashim__,5Forty3,1
_asif,design_track,-1
_asif,needa_perween,-1
_avenu,donmufflerman,-1
_avenu,everg3,-1
_avenu,fighterpirate7,-1
_avenu,iammlk48,-1
_avenu,tauhid13,-1
_avenu,trollabhakt,-1
_baatcutter,IamRitzV,1
_beinggaurav,aaanupriyaaa,1
_bishal20_,aaanupriyaaa,1
_cucumber_melon,jokinjey,1
_cucumber_melon,Memeghnad,1
_darkhumor,dna,1
_desibuzz,ChilliFL,1
_drcool_,AmarKrishnaJha,1
_drcool_,BSLMF,1
_drfister,Timcast,1
_dsrajput,AmiteshK01,1
_flamboyant_,5Forty3,1
_harishl,pavanaja,1
_HarshilNayak,saachin20,-1
_harveersingh,URautelaForever,1
_HazirJawab,arunnutan,-1
_himanshusuman,URautelaForever,1
_hinduism_,_Hinduism_,1
_Hinduism_,_hinduism_,-1
_Hinduism_,zasambhu,-1
_iamdineshreddy,URautelaForever,1
_iamsanjiv_,gauravcsawant,1
_its_rahul,harshkkapoor,1
_joshburgess,grossbart,-1
_joshburgess,k4y1s,-1
_joshburgess,tptee,-1
_Kirtibhairav,dkomal_kd,-1
_letkarmadoit4u,harshkkapoor,1
_letkarmadoit4u,rahulroushan,1
_luxsplendor,max70391931,1
_manish_pal,harshkkapoor,1
_manish_pal,Joydeep_911,1
_mataprasad,NCIndi,1
_MiteshPatel,_mittalshah,-1
_MiteshPatel,10_rekha,-1
_MiteshPatel,11boms,-1
_MiteshPatel,18kruti,-1
_MiteshPatel,18vikaram,-1
_MiteshPatel,19_vikash,-1
_MiteshPatel,1ojas,-1
_MiteshPatel,38jalpa,-1
_MiteshPatel,500urvashi,-1
_MiteshPatel,81_jignesh,-1
_MiteshPatel,87_bansari,-1
_MiteshPatel,aap_neel,-1
_MiteshPatel,aap_petlad,-1
_MiteshPatel,aapgujvolunteer,-1
_MiteshPatel,aapingoa,-1
_MiteshPatel,aapkipalki,-1
_MiteshPatel,aapvind,-1
_MiteshPatel,ahirchaarvi,-1
_MiteshPatel,anshaap1,-1
_MiteshPatel,baavachitra,-1
_MiteshPatel,bajajhansal,-1
_MiteshPatel,bomindus,-1
_MiteshPatel,breakinews,-1
_MiteshPatel,ca_sahay,-1
_MiteshPatel,calvin30125,-1
_MiteshPatel,chinmay_sav,-1
_MiteshPatel,devenddr42,-1
_MiteshPatel,eeshachawda,-1
_MiteshPatel,gujaratdalit,-1
_MiteshPatel,gujaratkiawaaz,-1
_MiteshPatel,harshilgujarati,-1
_MiteshPatel,i_am_anaskhan,-1
_MiteshPatel,indieanarch,-1
_MiteshPatel,jvsk3,-1
_MiteshPatel,kamaaaa6,-1
_MiteshPatel,kantiaap,-1
_MiteshPatel,labdhibadger,-1
_MiteshPatel,lalurohit1,-1
_MiteshPatel,modi_krish1,-1
_MiteshPatel,modijaisil,-1
_MiteshPatel,naiksaransh,-1
_MiteshPatel,namomad,-1
_MiteshPatel,naveenbebra,-1
_MiteshPatel,navikaarao,-1
_MiteshPatel,nehapunjab,-1
_MiteshPatel,nilshah2203,-1
_MiteshPatel,officeofarjun,-1
_MiteshPatel,patel_rajesh207,-1
_MiteshPatel,phlli9,-1
_MiteshPatel,prathidey,-1
_MiteshPatel,r_krishnan09,-1
_MiteshPatel,rambabu_14,-1
_MiteshPatel,rana_fenny,-1
_MiteshPatel,rathodshaiv,-1
_MiteshPatel,rudrchotaliya,-1
_MiteshPatel,sab_subh_hai,-1
_MiteshPatel,sanjayvmor,-1
_MiteshPatel,sawanpurohit,-1
_MiteshPatel,sonamishere,-1
_MiteshPatel,the_sailor_men,-1
_MiteshPatel,tilakshroff,-1
_MiteshPatel,umeshaappcmc,-1
_MiteshPatel,vristib,-1
_MiteshPatel,zaalimanna,-1
_mittalshah,_MiteshPatel,1
_mohdriyaz,aartic02,1
_myself_kishan_,URautelaForever,1
_nandanetf,URautelaForever,1
_narad,kanimozhi,1
_Narad,mkankunj,-1
_natasha_999,harshkkapoor,1
_nehabanu_,URautelaForever,1
_pallav13,URautelaForever,1
_prejudiced,Atheist_Krishna,1
_proud_indian_,gauravcsawant,1
_raimin__,URautelaForever,1
_raja_babu,gauravcsawant,1
_raja_babu,rupasubramanya,1
_rajatsharma,HumorMinistry,1
_rakeshdey,ModiBharosa,1
_ratnesh,coolfunnytshirt,1
_saurabhkishore,MIB_India,1
_sayta,5Forty3,1
_sh5un3,TheMehulPatel,1
_shamim7,RoflGandhi_,1
_sk2016,Janamejayan,1
_srinivasandra,JustinSandefur,1
_standupcentral,iimcomic,-1
_standupcentral,karthikvadde18,-1
_SwarajIndia,radheyshyamsin6,-1
_SwarajIndia,workingonnow,-1
_tejaschouhan,URautelaForever,1
_ursnaveen,RoflGandhi_,1
_vishal_mishra_,dna,1
_vtaar,priyaakulkarni2,1
_womaninattic,_WomanInAttic,1
_WomanInAttic,_womaninattic,-1
_YogendraYadav,jadav_m,-1
_yvonneburton,Lukewearechange,1
_zaalima,URautelaForever,1
_zayaan,rssurjewala,1
000hansa,ippatel,1
000mrs000,Atheist_Krishna,1
007_ammy,mkatju,1
007ajsaiyed,URautelaForever,1
007ekram,URautelaForever,1
01karn,parthology,1
02neeha,absolutethinker,1
05apuuuuu,aaanupriyaaa,1
06qlogk2bpnstkq,JPAL_Global,1
0786sartaj,PIB_India,1
0807ankit,5Forty3,1
0807ankit,jan14anurag,1
0807ankit,manijgd,1
0807ankit,pGurus1,1
0b28370da78a482,harshkkapoor,1
0yogen,gauravcsawant,1
10_rekha,_MiteshPatel,1
10anandrai,rssurjewala,1
11boms,_MiteshPatel,1
123mahendrainda,URautelaForever,1
123nida321,ShirishKunder,1
126_sonu,mahcongress,1
126sudhir,mahcongress,1
12anjusri,ShashiTharoor,1
13amit1313,DrKumarVishwas,1
16vpm,AdityaNair20,1
1824sphurthy,akpndy,1
1857penguin,sunil131415,1
18dMedia,baller_status28,-1
18dMedia,itswizdom__,-1
18kruti,_MiteshPatel,1
18vikaram,_MiteshPatel,1
19_vikash,_MiteshPatel,1
1901anupam,gauravcsawant,1
