"","Flow_from_user","Flow_to_user","flow"
"1","","cohelporg",1
"2","__yamaniyaa","sumongantait",0
"3","_cucumber_melon","jokinjey",0
"4","_desibuzz","ChilliFL",0
"5","_drcool_","AmarKrishnaJha",0
"6","_HarshilNayak","saachin20",1
"7","_HazirJawab","arunnutan",0
"8","_Hinduism_","zasambhu",1
"9","_Kirtibhairav","dkomal_kd",0
"10","_luxsplendor","max70391931",0
"11","_Narad","mkankunj",1
"12","_womaninattic","_WomanInAttic",0
"13","_WomanInAttic","_womaninattic",0
"14","_YogendraYadav","jadav_m",0
"15","02neeha","absolutethinker",0
"16","0807ankit","manijgd",-1
"17","1824sphurthy","akpndy",0
"18","1997INDIAN","ajtnegi",0
"19","1karnareddy","SanklechaD",-1
"20","3tweetsis1poem","Bhartiya_Invest",0
"21","4mlvodka","n1rajkumar",0
"22","56perumal","akg316arvind",0
"23","616476fbde873af","xglgu5obsw9j6xe",0
"24","a_miglani","vbeachcomber",0
"25","A_Observr","bharat_builder",1
"26","aakashhindocha","equity_focus",0
"27","AamAadmiParty","sahilma77068201",0
"28","aamadmy","AamAdmy",0
"29","AamAdmy","aamadmy",0
"30","aap_updates","AAP_Updates",0
"31","AAP_Updates","aap_updates",0
"32","aapkamuzzammil","MuzzammilAap",0
"33","aapkarajiv","dhyani0709",0
"34","aaplogical","DKMahant",-1
"35","aarfakhanam","Shehzad_Ind",0
"36","AartiTikoo","akhilnairashok",0
"37","AashaBisht","anil_chouksey",0
"38","aashish81us","Dmonetisation",-1
"39","aashishrazdan","apllalkesh",0
"40","abdulnasser21","Kahaanify",-1
"41","abdulsaleemgad","IndiaVikas50",0
"42","abhijeet9839","MiraPokhrel",0
"43","abhijeetmani","Priyotamo",0
"44","abhisek18","BBSRBuzz",0
"45","AbhishantPant","atomtech_india",0
"46","Abhishek3592","avinash_mailme",0
"47","abhitripathi15","sethichandigarh",1
"48","absolutethinker","02neeha",0
"49","AbuRC1981","swatisharma1105",0
"50","Accion","yaroslavs5kop",0
"51","acejunker","paulasset",0
"52","achaleshamar","adybhel",0
"53","ACJIndia","devadasrajaram",0
"54","adhaGiri","punestartup",0
"55","adil_ah123","FrankieMendonca",0
"56","adil14384","najirpatel3",0
"57","adv_animesh","Holmes2491",0
"58","adybhel","achaleshamar",0
"59","Agenda21Truth","mrsbfitz",0
"60","AgendaOfEvil","jackiemcreath1",0
"61","agentdice","didactdude",0
"62","ahmedtells","mkkhanmk",0
